"The University of Texas MD Anderson Cancer Center
Hospital Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
301,LABORATORY - CHEMISTRY,84152,PSA (prostate specific antigen) measurement,$181
302,LABORATORY - CHEMISTRY,84153,PSA (prostate specific antigen) measurement,$174
303,LABORATORY - CHEMISTRY,84154,PSA (prostate specific antigen) measurement,$213
304,LABORATORY - CHEMISTRY,84155,"Total protein level, blood",$38
305,LABORATORY - CHEMISTRY,84156,"Total protein level, urine",$50
306,LABORATORY - CHEMISTRY,84160,Total protein level,$28
307,LABORATORY - CHEMISTRY,84165,"Protein measurement, serum",$125
308,LABORATORY - CHEMISTRY,84166,"Protein measurement, body fluid",$189
309,LABORATORY - CHEMISTRY,84181,Protein measurement,$158
310,LABORATORY - CHEMISTRY,84182,Protein measurement,$662
311,LABORATORY - CHEMISTRY,84202,Protoporphyrin (metabolism substance) level,$36
312,LABORATORY - CHEMISTRY,84206,Proinsulin (pancreatic hormone) level,$61
313,LABORATORY - CHEMISTRY,84207,Vitamin B-6 level,$94
314,LABORATORY - CHEMISTRY,84210,Pyruvate (organic acid) level,$81
315,LABORATORY - CHEMISTRY,84220,Pyruvate kinase (enzyme) level,$92
316,LABORATORY - CHEMISTRY,84238,Chemical receptor analysis,$61
317,LABORATORY - CHEMISTRY,84244,Renin (kidney enzyme) level,$65
318,LABORATORY - CHEMISTRY,84252,Vitamin B-2 (riboflavin) level,$66
319,LABORATORY - CHEMISTRY,84255,Selenium (vitamin) level,$58
320,LABORATORY - CHEMISTRY,84260,Serotonin (hormone) level,$78
321,LABORATORY - CHEMISTRY,84270,Sex hormone binding globulin (protein) level,$68
322,LABORATORY - CHEMISTRY,84295,Blood sodium level,$57
323,LABORATORY - CHEMISTRY,84300,Urine sodium level,$38
324,LABORATORY - CHEMISTRY,84302,Sodium level,$73
325,LABORATORY - CHEMISTRY,84305,Somatomedin (growth factor) level,$79
326,LABORATORY - CHEMISTRY,84307,Somatostatin (growth hormone inhibitor) level,$296
327,LABORATORY - CHEMISTRY,84311,Chemical analysis using spectrophotometry (light),$312
328,LABORATORY - CHEMISTRY,84315,Specific gravity (liquid weight) measurement,$31
329,LABORATORY - CHEMISTRY,84378,Carbohydrate analysis,$107
330,LABORATORY - CHEMISTRY,84402,Testosterone (hormone) level,$30
331,LABORATORY - CHEMISTRY,84403,Testosterone (hormone) level,$101
332,LABORATORY - CHEMISTRY,84425,Vitamin B-1 (thiamine) level,$62
333,LABORATORY - CHEMISTRY,84432,Thyroglobulin (thyroid related hormone) level,$275
334,LABORATORY - CHEMISTRY,84436,Thyroxine (thyroid chemical) measurement,$97
335,LABORATORY - CHEMISTRY,84439,Thyroxine (thyroid chemical) measurement,$95
336,LABORATORY - CHEMISTRY,84442,Thyroxine binding globulin (thyroid related protein) level,$51
337,LABORATORY - CHEMISTRY,84443,"Blood test, thyroid stimulating hormone (TSH)",$288
338,LABORATORY - CHEMISTRY,84445,Thyroid stimulating immune globulins (thyroid related protein) level,$109
339,LABORATORY - CHEMISTRY,84446,Vitamin E level,$44
340,LABORATORY - CHEMISTRY,84449,Transcortin (cortisol binding protein) level,$155
341,LABORATORY - CHEMISTRY,84450,"Liver enzyme (SGOT), level",$87
342,LABORATORY - CHEMISTRY,84460,"Liver enzyme (SGPT), level",$41
343,LABORATORY - CHEMISTRY,84466,Transferrin (iron binding protein) level,$91
344,LABORATORY - CHEMISTRY,84478,Triglycerides level,$80
345,LABORATORY - CHEMISTRY,84479,Thyroid hormone evaluation,$53
346,LABORATORY - CHEMISTRY,84480,"Thyroid hormone, T3 measurement",$129
347,LABORATORY - CHEMISTRY,84481,"Thyroid hormone, T3 measurement",$126
348,LABORATORY - CHEMISTRY,84482,"Thyroid hormone, T3 measurement",$84
349,LABORATORY - CHEMISTRY,84484,Troponin (protein) analysis,$192
350,LABORATORY - CHEMISTRY,84520,Urea nitrogen level to assess kidney function,$53
351,LABORATORY - CHEMISTRY,84540,Urea nitrogen level to assess kidney function,$63
352,LABORATORY - CHEMISTRY,84550,"Uric acid level, blood",$41
353,LABORATORY - CHEMISTRY,84560,Uric acid level,$74
354,LABORATORY - CHEMISTRY,84585,Urine vanillylmandelic acid,$51
355,LABORATORY - CHEMISTRY,84586,Vasoactive intestinal peptide (intestinal hormone) level,$94
356,LABORATORY - CHEMISTRY,84588,ADH (antidiuretic hormone) level,$79
357,LABORATORY - CHEMISTRY,84590,Vitamin A level,$45
358,LABORATORY - CHEMISTRY,84591,Vitamin measurement,$133
359,LABORATORY - CHEMISTRY,84597,Vitamin K level,$125
360,LABORATORY - CHEMISTRY,84630,Zinc level,$67
361,LABORATORY - CHEMISTRY,84681,C-peptide (protein) level,$210
362,LABORATORY - CHEMISTRY,84702,"Gonadotropin, chorionic (reproductive hormone) level",$171
363,LABORATORY - CHEMISTRY,84999,Chemistry procedures,$478
364,LABORATORY - CHEMISTRY,86152,Cell enumeration using immunologic selection and identification in fluid specimen,"$1,689"
365,LABORATORY - CHEMISTRY,86300,Immunologic analysis for detection of tumor antigen,$252
366,LABORATORY - CHEMISTRY,86305,Analysis of female reproductive genetic marker,"$3,210"
367,LABORATORY - CHEMISTRY,86316,Analysis for detection of tumor marker,$168
368,LABORATORY - CHEMISTRY,86335,Immunologic analysis technique on body fluid,$136
369,LABORATORY - CHEMISTRY,86386,Protein test for diagnosis and monitoring of bladder cancer,$120
370,LABORATORY - CHEMISTRY,86886,Red blood cell antibody level,$58
371,LABORATORY - CHEMISTRY,87799,Detection test for organism,$271
372,LABORATORY - CHEMISTRY,G0103,Psa screening,$182
373,LABORATORY - IMMUNOLOGY,80375,Drugs or substances measurement,$184
374,LABORATORY - IMMUNOLOGY,82657,Enzyme activity measurement,$73
375,LABORATORY - IMMUNOLOGY,83516,Analysis of substance using immunoassay technique,$232
376,LABORATORY - IMMUNOLOGY,83519,Measurement of substance using immunoassay technique,"$1,535"
377,LABORATORY - IMMUNOLOGY,83520,Measurement of substance using immunoassay technique,$489
378,LABORATORY - IMMUNOLOGY,83880,Natriuretic peptide (heart and blood vessel protein) level,$106
379,LABORATORY - IMMUNOLOGY,84484,Troponin (protein) analysis,$69
380,LABORATORY - IMMUNOLOGY,86000,Measurement of antibody to infectious organism,$140
381,LABORATORY - IMMUNOLOGY,86003,Measurement of antibody (IgE) to allergic substance,$41
382,LABORATORY - IMMUNOLOGY,86021,Antibody identification test for white blood cell antibodies,$478
383,LABORATORY - IMMUNOLOGY,86022,Antibody identification test for platelet antibodies,$366
384,LABORATORY - IMMUNOLOGY,86023,Antibody identification test for platelet antibodies,$483
385,LABORATORY - IMMUNOLOGY,86039,Measurement of antibody for assessment of autoimmune disorder,$241
386,LABORATORY - IMMUNOLOGY,86060,Measurement for Strep antibody (strep throat),$26
387,LABORATORY - IMMUNOLOGY,86140,Measurement C-reactive protein for detection of infection or inflammation,$114
388,LABORATORY - IMMUNOLOGY,86146,Beta 2 glycoprotein 1 antibody (autoantibody) measurement,$88
389,LABORATORY - IMMUNOLOGY,86147,Cardiolipin antibody (tissue antibody) measurement,$73
390,LABORATORY - IMMUNOLOGY,86148,Phospholipid antibody (autoimmune antibody) measurement,$222
391,LABORATORY - IMMUNOLOGY,86156,Measurement of cold agglutinin (protein) to screen for infection or disease,$49
392,LABORATORY - IMMUNOLOGY,86157,Measurement of cold agglutinin (protein) to detect infection or disease,$98
393,LABORATORY - IMMUNOLOGY,86160,Measurement of complement (immune system proteins),$165
394,LABORATORY - IMMUNOLOGY,86161,Measurement of complement function (immune system proteins),$74
395,LABORATORY - IMMUNOLOGY,86162,Measurement of complement (immune system proteins),$53
396,LABORATORY - IMMUNOLOGY,86200,Measurement of antibody for rheumatoid arthritis assessment,$44
397,LABORATORY - IMMUNOLOGY,86215,Measurement of DNA antibody,$27
398,LABORATORY - IMMUNOLOGY,86225,Measurement of DNA antibody,$45
399,LABORATORY - IMMUNOLOGY,86226,Measurement of DNA antibody,$87
400,LABORATORY - IMMUNOLOGY,86235,Measurement of antibody for assessment of autoimmune disorder,$144
401,LABORATORY - IMMUNOLOGY,86255,Screening test for antibody to noninfectious agent,$460
402,LABORATORY - IMMUNOLOGY,86256,Measurement of antibody to noninfectious agent,$209
403,LABORATORY - IMMUNOLOGY,86300,Immunologic analysis for detection of tumor antigen,$48
404,LABORATORY - IMMUNOLOGY,86301,Immunologic analysis for detection of tumor antigen,$150
405,LABORATORY - IMMUNOLOGY,86304,Immunologic analysis for detection of tumor antigen,$228
406,LABORATORY - IMMUNOLOGY,86305,Analysis of female reproductive genetic marker,$204
407,LABORATORY - IMMUNOLOGY,86308,Screening test for mononucleosis (mono),$66
408,LABORATORY - IMMUNOLOGY,86316,Analysis for detection of tumor marker,$72
409,LABORATORY - IMMUNOLOGY,86317,Detection of infectious agent antibody,$215
410,LABORATORY - IMMUNOLOGY,86332,Immune complex measurement,$90
411,LABORATORY - IMMUNOLOGY,86334,Immunologic analysis technique on serum,$246
412,LABORATORY - IMMUNOLOGY,86335,Immunologic analysis technique on body fluid,$246
413,LABORATORY - IMMUNOLOGY,86336,Inhibin A (reproductive organ hormone) measurement,$100
414,LABORATORY - IMMUNOLOGY,86337,Insulin antibody measurement,$70
415,LABORATORY - IMMUNOLOGY,86340,Intrinsic factor (stomach protein) antibody measurement,$84
416,LABORATORY - IMMUNOLOGY,86341,Islet cell (pancreas) antibody measurement,$343
417,LABORATORY - IMMUNOLOGY,86353,White blood cell function measurement,$268
418,LABORATORY - IMMUNOLOGY,86355,Total cell count for B cells (white blood cells),$273
419,LABORATORY - IMMUNOLOGY,86357,Total cell count for natural killer cells (white blood cell),$422
420,LABORATORY - IMMUNOLOGY,86359,"T cells count, total",$273
421,LABORATORY - IMMUNOLOGY,86360,T cell count and ratio,$550
422,LABORATORY - IMMUNOLOGY,86367,"Stem cells count, total",$247
423,LABORATORY - IMMUNOLOGY,86376,Microsomal antibodies (autoantibody) measurement,$180
424,LABORATORY - IMMUNOLOGY,86430,Rheumatoid factor analysis,$177
425,LABORATORY - IMMUNOLOGY,86431,Rheumatoid factor level,$269
426,LABORATORY - IMMUNOLOGY,86480,Tuberculosis test,$341
427,LABORATORY - IMMUNOLOGY,86592,Syphilis detection test,$99
428,LABORATORY - IMMUNOLOGY,86593,Syphilis test,$71
429,LABORATORY - IMMUNOLOGY,86603,Analysis for antibody to adenovirus (respiratory virus),$114
430,LABORATORY - IMMUNOLOGY,86606,Analysis for antibody to aspergillus (fungus),$87
431,LABORATORY - IMMUNOLOGY,86609,Analysis for antibody bacteria,$126
432,LABORATORY - IMMUNOLOGY,86611,Analysis for antibody to Bartonella (bacteria),$18
433,LABORATORY - IMMUNOLOGY,86612,Analysis for antibody to blastomyces (fungus),$99
434,LABORATORY - IMMUNOLOGY,86615,Analysis for antibody bordetella (respiratory bacteria),$65
435,LABORATORY - IMMUNOLOGY,86617,Confirmation test for antibody to Borrelia burgdorferi (Lyme disease bacteria),$48
436,LABORATORY - IMMUNOLOGY,86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$70
437,LABORATORY - IMMUNOLOGY,86622,Analysis for antibody to Brucella (bacteria),$138
438,LABORATORY - IMMUNOLOGY,86628,Analysis for antibody to Candida (yeast),$71
439,LABORATORY - IMMUNOLOGY,86631,Analysis for antibody to Chlamydia (bacteria),$13
440,LABORATORY - IMMUNOLOGY,86632,Analysis for antibody (IgM) to Chlamydia (bacteria),$13
441,LABORATORY - IMMUNOLOGY,86635,Analysis for antibody to Coccidioides (bacteria),$32
442,LABORATORY - IMMUNOLOGY,86638,Analysis for antibody to Coxiella burnetii (Q fever bacteria),$126
443,LABORATORY - IMMUNOLOGY,86644,Analysis for antibody to Cytomegalovirus (CMV),$106
444,LABORATORY - IMMUNOLOGY,86645,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$145
445,LABORATORY - IMMUNOLOGY,86651,Analysis for antibody to La crosse (California) virus (encephalitis causing virus),$77
446,LABORATORY - IMMUNOLOGY,86652,Analysis for antibody to Eastern equine virus (viral encephalitis),$77
447,LABORATORY - IMMUNOLOGY,86653,Analysis for antibody to St. Louis virus (viral encephalitis),$77
448,LABORATORY - IMMUNOLOGY,86654,Analysis for antibody to Western equine virus (viral encephalitis),$77
449,LABORATORY - IMMUNOLOGY,86658,Analysis for antibody to Enterovirus (gastrointestinal virus),$72
450,LABORATORY - IMMUNOLOGY,86664,Analysis for antibody to Epstein-Barr virus (mononucleosis virus),$195
451,LABORATORY - IMMUNOLOGY,86665,Analysis for antibody to Epstein-Barr virus (mononucleosis virus),$275
452,LABORATORY - IMMUNOLOGY,86666,Analysis for antibody to Ehrlichia (bacteria transmitted by ticks),$120
453,LABORATORY - IMMUNOLOGY,86671,Analysis for antibody to fungus,$84
454,LABORATORY - IMMUNOLOGY,86682,Analysis for antibody to helminth (intestinal worm),$200
455,LABORATORY - IMMUNOLOGY,86684,Analysis for antibody to Haemophilus influenza (respiratory bacteria),$90
456,LABORATORY - IMMUNOLOGY,86689,Confirmation test for antibody to Human T-cell lymphotropic virus (HTLV) or HIV,$161
457,LABORATORY - IMMUNOLOGY,86692,Analysis for antibody to Hepatitis D virus,$368
458,LABORATORY - IMMUNOLOGY,86694,Analysis for antibody to Herpes simplex virus,$281
459,LABORATORY - IMMUNOLOGY,86695,"Analysis for antibody to Herpes simplex virus, type 1",$116
460,LABORATORY - IMMUNOLOGY,86696,"Analysis for antibody to Herpes simplex virus, type 2",$170
461,LABORATORY - IMMUNOLOGY,86698,Analysis for antibody to histoplasma (fungus),$27
462,LABORATORY - IMMUNOLOGY,86702,Analysis for antibody to HIV-2 virus,$283
463,LABORATORY - IMMUNOLOGY,86703,Analysis for antibody to HIV-1 and HIV-2 virus,$228
464,LABORATORY - IMMUNOLOGY,86704,Hepatitis B core antibody measurement,$163
465,LABORATORY - IMMUNOLOGY,86705,Hepatitis B core antibody (IgM) measurement,$46
466,LABORATORY - IMMUNOLOGY,86706,Hepatitis B surface antibody measurement,$44
467,LABORATORY - IMMUNOLOGY,86707,Hepatitis Be antibody measurement,$46
468,LABORATORY - IMMUNOLOGY,86708,Measurement of Hepatitis A antibody,$57
469,LABORATORY - IMMUNOLOGY,86709,Measurement of Hepatitis A antibody (IgM),$63
470,LABORATORY - IMMUNOLOGY,86717,Analysis for antibody to Leishmania (parasite),$71
471,LABORATORY - IMMUNOLOGY,86720,Analysis for antibody to Leptospira,$232
472,LABORATORY - IMMUNOLOGY,86727,Analysis for antibody to lymphocytic choriomeningitis virus (viral meningitis),$113
473,LABORATORY - IMMUNOLOGY,86735,Analysis for antibody to mumps virus,$121
474,LABORATORY - IMMUNOLOGY,86738,Analysis for antibody to Mycoplasma (bacteria),$107
475,LABORATORY - IMMUNOLOGY,86747,Analysis for antibody to parvovirus,$26
476,LABORATORY - IMMUNOLOGY,86753,Analysis for antibody to protozoa (parasite),$132
477,LABORATORY - IMMUNOLOGY,86757,Analysis for antibody to Rickettsia (bacteria),$49
478,LABORATORY - IMMUNOLOGY,86759,Analysis for antibody to Rotavirus (intestinal virus),$126
479,LABORATORY - IMMUNOLOGY,86762,Analysis for antibody to Rubella (German measles virus),$68
480,LABORATORY - IMMUNOLOGY,86765,Analysis for antibody to Rubeola (measles virus),$113
481,LABORATORY - IMMUNOLOGY,86768,Analysis for antibody to Salmonella (intestinal bacteria),$67
482,LABORATORY - IMMUNOLOGY,86777,Analysis for antibody to Toxoplasma (parasite),$42
483,LABORATORY - IMMUNOLOGY,86778,Analysis for antibody (IgM) to Toxoplasma (parasite),$43
484,LABORATORY - IMMUNOLOGY,86780,"Analysis for antibody, Treponema pallidum",$140
485,LABORATORY - IMMUNOLOGY,86784,Analysis for antibody to Trichinella (worm parasite),$74
486,LABORATORY - IMMUNOLOGY,86787,Analysis for antibody to varicella-zoster virus (chicken pox),$127
487,LABORATORY - IMMUNOLOGY,86788,Analysis for antibody (IgM) to West Nile virus,$148
488,LABORATORY - IMMUNOLOGY,86789,Analysis for antibody to West Nile virus,$126
489,LABORATORY - IMMUNOLOGY,86790,Analysis for antibody to virus,$182
490,LABORATORY - IMMUNOLOGY,86793,Analysis for antibody to Yersinia (bacteria),$171
491,LABORATORY - IMMUNOLOGY,86800,Thyroglobulin (thyroid protein) antibody measurement,$224
492,LABORATORY - IMMUNOLOGY,86803,Hepatitis C antibody measurement,$267
493,LABORATORY - IMMUNOLOGY,86813,Immunologic analysis for autoimmune disease,$423
494,LABORATORY - IMMUNOLOGY,86816,Immunologic analysis for autoimmune disease,$183
495,LABORATORY - IMMUNOLOGY,86828,Assessment of antibodies to Class I and Class II human leukocyte antigens (HLA) antigens,$478
496,LABORATORY - IMMUNOLOGY,86830,"Assessment of antibody to human leukocyte antigens (HLA) with antibody identification by qualitative panel using complete HLA phenotypes, HLA class I",$425
497,LABORATORY - IMMUNOLOGY,86831,"Assessment of antibody to human leukocyte antigens (HLA) with antibody identification by qualitative panel using complete HLA phenotypes, HLA class II",$378
498,LABORATORY - IMMUNOLOGY,86832,"Assessment of antibody to human leukocyte antigens (HLA) with high definition qualitative panel for identification of antibody specificities, HLA class I",$664
499,LABORATORY - IMMUNOLOGY,86833,"Assessment of antibody to human leukocyte antigens (HLA) with high definition qualitative panel for identification of antibody specificities, HLA class II",$571
500,LABORATORY - IMMUNOLOGY,87389,Detection test for HIV-1 and HIV-2,$82
501,LABORATORY - IMMUNOLOGY,87499,#N/A,$229
502,LABORATORY - IMMUNOLOGY,87798,Detection test for organism,"$1,123"
503,LABORATORY - IMMUNOLOGY,87899,Detection test for identification of organism,$293
504,LABORATORY - HEMATOLOGY,85007,Microscopic examination for white blood cells with manual cell count,$65
505,LABORATORY - HEMATOLOGY,85013,Red blood cell hemoglobin concentration,$22
506,LABORATORY - HEMATOLOGY,85014,Red blood cell concentration measurement,$30
507,LABORATORY - HEMATOLOGY,85018,Hemoglobin measurement,$21
508,LABORATORY - HEMATOLOGY,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test",$103
509,LABORATORY - HEMATOLOGY,85027,"Complete blood cell count (red cells, white blood cell, platelets), automated test",$82
510,LABORATORY - HEMATOLOGY,85041,"Red blood cell count, automated test",$22
511,LABORATORY - HEMATOLOGY,85044,"Red blood count, manual test",$35
512,LABORATORY - HEMATOLOGY,85045,"Red blood count, automated test",$82
513,LABORATORY - HEMATOLOGY,85048,Automated white blood cell count,$22
514,LABORATORY - HEMATOLOGY,85049,"Platelet count, automated test",$74
515,LABORATORY - HEMATOLOGY,85055,Reticulated (young) platelet measurement,$86
516,LABORATORY - HEMATOLOGY,85060,Blood smear interpretation by physician with written report,$74
517,LABORATORY - HEMATOLOGY,85210,"Clotting factor II prothrombin, measurement",$157
518,LABORATORY - HEMATOLOGY,85220,Clotting factor V (AcG or proaccelerin) measurement,$157
519,LABORATORY - HEMATOLOGY,85230,"Clotting factor VII (proconvertin, stable factor)",$157
520,LABORATORY - HEMATOLOGY,85240,Clotting factor VIII (AHG) measurement,$157
521,LABORATORY - HEMATOLOGY,85245,Clotting factor VIII (VW factor) measurement,$39
522,LABORATORY - HEMATOLOGY,85246,Clotting factor VIII (VW factor) antigen,$57
523,LABORATORY - HEMATOLOGY,85247,Clotting factor VIII (von Willebrand factor) measurement,$85
524,LABORATORY - HEMATOLOGY,85250,Clotting factor IX (PTC or Christmas) measurement,$157
525,LABORATORY - HEMATOLOGY,85260,Clotting factor X (Stuart-Prower) measurement,$113
526,LABORATORY - HEMATOLOGY,85270,Clotting factor XI (PTA) measurement,$224
527,LABORATORY - HEMATOLOGY,85280,Clotting factor XII (Hageman) measurement,$157
528,LABORATORY - HEMATOLOGY,85290,Clotting factor XIII (fibrin stabilizing) measurement,$133
529,LABORATORY - HEMATOLOGY,85291,Clotting factor XIII (fibrin stabilizing) screening test,$78
530,LABORATORY - HEMATOLOGY,85300,Antithrombin III antigen (clotting inhibitor) activity,$217
531,LABORATORY - HEMATOLOGY,85301,Antithrombin III antigen (clotting inhibitor) level,$64
532,LABORATORY - HEMATOLOGY,85302,"Protein C, (clotting inhibitor) activity",$112
533,LABORATORY - HEMATOLOGY,85303,Protein C antigen (clotting inhibitor) measurement,$218
534,LABORATORY - HEMATOLOGY,85305,Protein S (clotting inhibitor) level,$114
535,LABORATORY - HEMATOLOGY,85306,Protein S (clotting inhibitor) measurement,$122
536,LABORATORY - HEMATOLOGY,85307,Activated protein resistance assay,$187
537,LABORATORY - HEMATOLOGY,85335,Clotting factor inhibitor test,$971
538,LABORATORY - HEMATOLOGY,85347,Coagulation time measurement,$73
539,LABORATORY - HEMATOLOGY,85362,Coagulation function analysis,$89
540,LABORATORY - HEMATOLOGY,85379,Coagulation function measurement,$74
541,LABORATORY - HEMATOLOGY,85384,Fibrinogen (factor 1) activity measurement,$795
542,LABORATORY - HEMATOLOGY,85385,Fibrinogen (factor 1) antigen detection,$176
543,LABORATORY - HEMATOLOGY,85390,Coagulation function screening test with interpretation and report,$91
544,LABORATORY - HEMATOLOGY,85396,"Coagulation or fibrinolysis (clot dissolving) function measurement with interpretation and written report, per day",$526
545,LABORATORY - HEMATOLOGY,85397,Measurement of blood coagulation and fibrinolysis (clot dissolving) function,$584
546,LABORATORY - HEMATOLOGY,85410,Alpha-2 antiplasmin (factor inhibitor) measurement,$106
547,LABORATORY - HEMATOLOGY,85415,Plasminogen activator (fibrinolytic factor) measurement,$177
548,LABORATORY - HEMATOLOGY,85441,Evaluation of red blood cell defect (Heinz bodies),$89
549,LABORATORY - HEMATOLOGY,85445,Evaluation of red blood cell defect (Heinz bodies),$89
550,LABORATORY - HEMATOLOGY,85520,Heparin assay,$271
551,LABORATORY - HEMATOLOGY,85549,White blood cell enzyme activity measurement,$55
