"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
295,20206,"PR NEEDLE BIOPSY,MUSCLE",$485.00,
296,20220,"PR BONE BIOPSY,TROCAR/NEEDLE SUPERF",$624.00,
297,20225,"PR BONE BIOPSY,TROCAR/NEEDLE DEEP","$1,410.00",
298,20240,PR BIOPSY BONE OPEN SUPERFICIAL,"$1,187.00",
299,20245,PR BIOPSY BONE OPEN DEEP,"$2,731.00",
300,20250,PR OPEN BONE BIOP VERT DORSAL,"$4,067.00",
301,20500,PR INJECT SINUS TRACT THERAPUTIC,$549.00,
302,20501,PR INJECT SINUS TRACT FOR DX W XRAY,"$1,065.00",
303,20525,PR REMOVAL OF FOREIGN BODY DEEP/COMPLIC,"$1,996.00",
304,20526,PR INJECT CARPAL TUNNEL,$333.00,
305,20550,PR INJECT TENDON SHEATH/LIGAMENT,$258.00,
306,20551,PR INJECT TENDON ORIGIN/INSERT,$271.00,
307,20552,"PR INJECT TRIGGER POINT, 1 OR 2",$258.00,
308,20553,"PR INJECT TRIGGER POINTS, 3 OR MORE",$353.00,
309,20600,PR DRAIN/INJECT SMALL JOINT/BURSA,$246.00,
310,20604,PR ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT,$384.00,
311,20605,PR DRAIN/INJECT INTERMEDIATE JOINT/BURSA,$242.00,
312,20606,PR ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/US,$431.00,
313,20610,PR DRAIN/INJECT LARGE JOINT/BURSA,$265.00,
314,20611,PR ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US,$475.00,
315,20612,PR ASPIRAT/INJECTION GANGLION CYST(S),$242.00,
316,20615,PR ASPIR/INJEC BONE CYST,$842.00,
317,20660,PR APPLY/REMOVE CRANIAL FIX DEV,"$1,563.00",
318,20661,PR APPLY/REMOVE HALO CRANIAL,"$2,398.00",
319,20670,PR REMOVAL SUPERFICIAL IMPLANT,"$2,758.00",
320,20680,PR REMOVAL DEEP IMPLANT,"$1,805.00",
321,20900,PR REMV BONE FOR GRAFT MINOR,"$1,276.00",
322,20902,PR REMV BONE FOR GRAFT MAJOR,"$2,545.00",
323,20910,PR REMV CARTILAGE FOR GRAFT COSTOCH,"$2,099.00",
324,20912,PR REMV CARTILAGE FOR GRAFT NASAL,"$2,475.00",
325,20920,PR REMV FASCIA FOR GRAFT STRIPPER,"$1,212.00",
326,20922,PR REMV FASCIA FOR GRAFT INCIS,"$2,100.00",
327,20924,PR REMV TENDON FOR GRAFT,"$1,366.59",
328,20926,PR REMV TISSUE FOR GRAFT OTHR,"$1,498.00",
329,20930,PR ALLOGRAFT FOR SPINE SURGERY ONLY MORSELIZED,"$1,320.00",
330,20950,"PR RECORD FLUID PRESSURE,MUSCLE",$541.00,
331,20955,PR MICROVASCULAR FIBULA GRAFT,"$13,000.00",
332,20956,PR MICROVASCULAR ILIAC CREST GRAFT,"$13,000.00",
333,20962,"PR MICROVASCULAR BONE GRAFT,OTHER","$13,000.00",
334,20969,"PR BONE-SKIN GRAFT, MICROVASCULAR","$14,023.00",
335,20970,"PR BONE-SKIN GRAFT, MICROVAS ILIA CREST","$13,000.00",
336,20982,PR ABLATION BONE TUMOR RF PERQ W/IMG GDN WHEN DONE,"$3,887.52",
337,20983,PR ABLATJ BONE TUMOR CRYO PERQ W/IMG GDN WHEN PRFMD,"$3,073.00",
338,20999,PB UNLISTED PROCEDURE MUSCSKELETAL SYSTEM GENERAL ,$524-$4481,
339,21011,PR EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ < 2CM,"$1,281.00",
340,21012,PR EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ 2+CM,"$1,907.00",
341,21013,PR EXC TUMOR SOFT TISS FACE&SCALP SUBFASCIAL < 2CM,"$2,323.00",
342,21014,PR EXC TUMOR SOFT TISS FACE&SCALP SUBFASCIAL 2+CM,"$3,055.00",
343,21015,PR RAD RESECTION TUMOR SOFT TISS FACE/SCALP < 2CM,"$2,864.00",
344,21016,PR RAD RESECTION TUMOR SOFT TISS FACE/SCALP 2 CM/>,"$6,866.00",
345,21025,"PR EXCISION OF BONE, LOWER JAW","$4,341.00",
346,21026,PR EXCISION OF FACIAL BONE(S),"$4,408.00",
347,21029,PR CONTOUR OF FACE BONE LESION,"$4,635.00",
348,21031,"PR EXCISION,TORUS MANDIBULARIS","$1,395.00",
349,21032,"PR EXCISION,MAXILLARY TORUS PALATINUS","$1,380.00",
350,21034,"PR EXCISION,MALIG TUMOR, MAXILLA/ZYGOMA","$4,580.00",
351,21040,"PR EXCISION,BENIGN TUMOR,MANDIBLE","$2,594.00",
352,21044,PR REMV MALIG JAW BONE LESION,"$4,809.00",
353,21045,PR REMV MALIG JAW BONE RADICAL,"$8,277.00",
354,21046,"PR EXCISION,BEN TUMOR,MANDIBLE,INTRA-ORAL","$8,362.00",
355,21047,"PR EXCISION,BEN TUMOR,MANDIBLE,EXTRA-ORAL","$9,210.00",
356,21048,"PR EXCISION,BEN TUMOR,MAXILLA,INTRA-ORAL","$8,362.00",
357,21076,PR PREP FACE/ORAL PROST OBTURATOR,"$4,774.00",
358,21079,PR PREP FACE/ORAL PROST TEMP OBTURATOR,"$7,951.00",
359,21080,PR PREP FACE/ORAL PROST FINL OBTURATOR,"$8,623.00",
360,21081,PR PREP FACE/ORAL PROST MANDIBULAR,"$7,750.00",
361,21082,PR PREP FACE/ORAL PROST PALATE AUGMT,"$7,424.00",
362,21084,PR PREP FACE/ORAL PROST SPEECH AID,"$7,132.00",
363,21085,PR PREP FACE/ORAL PROST ORAL SPLINT,"$2,758.00",
364,21089,PB UNLISTED MAXILLOFACIAL PROSTHETIC PROCEDURE ,$200-$500,
365,21198,"PR OSTEOTOMY, MANDIBLE","$6,070.00",
366,21206,"PR RECONST MAXILLA,SEGMENTAL","$9,050.00",
367,21208,PR AUGMENT FACIAL BONES,"$4,690.00",
368,21230,PR RIB CARTILAGE GRAFT TO FACE,"$6,291.00",
369,21235,PR EAR CARTILAGE GRAFT TO FACE,"$4,462.00",
370,21244,"PR RECONSTR MANDIBLE,BONE PLATE","$8,680.00",
371,21248,"PR RECONSTR JAW,PART-ENDO IMPLNT","$9,610.00",
372,21249,"PR RECONSTR JAW,FULL,ENDO IMPLNT","$11,036.00",
373,21280,"PR REVISION OF EYELID,MEDIAL","$4,194.00",
374,21282,"PR REVISION OF EYELID,LATERAL","$3,311.00",
375,21299,PB UNLISTED CRANIOFACIAL & MAXILLOFACIAL PROCEDURE ,$200-$5794,
376,21343,PR OPEN RX DEPRES FRONTAL SINUS FRAC,"$5,545.00",
377,21406,PR OPEN RX FX ORBIT,"$4,044.00",
378,21407,PR OPEN RX FX ORBIT W IMPLANT,"$5,082.00",
379,21422,PR OPEN RX LEFORTE I,"$3,455.00",
380,21462,PR OPEN RX MANDIBLE FX+DENTAL FIX,"$6,007.00",
381,21497,PR INTERDENTAL WIRING,"$1,730.00",
382,21501,PR I&D DEEP ABSC/HEMATOMA NECK/CHEST,"$1,662.00",
383,21550,PR BIOPSY SOFT TISSUE NECK/CHEST,$881.41,
384,21552,PR EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBQ 3+CM,"$2,781.00",
385,21554,PR EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBFASCIAL  5+CM,"$5,008.00",
386,21555,PR EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBQ <3CM,"$1,311.00",
387,21556,PR EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBFASCIAL <5CM,"$2,240.00",
388,21557,PR RAD RESECT TUMOR SOFT TISS NECK/ANT THORAX <5CM,"$8,191.00",
389,21558,PR RAD RESECT TUMOR SOFT TISS NECK/ANT THORAX 5CM/>,"$9,710.00",
390,21600,PR PARTIAL REMOVAL OF RIB,"$2,839.00",
391,21615,PR REMOVAL 1ST/CERVICAL RIB,"$5,824.00",
392,21620,PR PARTIAL REMOVAL OF STERNUM,"$5,183.00",
393,21627,PR STERNAL DEBRIDEMENT,"$5,230.00",
394,21685,PR HYOID MYOTOMY & SUSPENSION,"$4,635.00",
395,21811,PR OPEN TX RIB FX W/FIXJ THORACOSCOPIC VIS 1-3 RIBS,"$4,650.00",
396,21812,PR OPEN TX RIB FX W/FIXJ THORACOSCOPIC VIS 4-6 RIBS,"$5,602.00",
397,21825,PR OPEN RX STERNUM FRACTURE,"$3,569.00",
398,21920,"PR BIOPSY SOFT TISSUE BACK,SUPERF","$1,024.00",
399,21925,"PR BIOPSY SOFT TISSUE BACK,DEEP","$1,478.00",
400,21930,PR EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM,"$2,432.00",
401,21931,PR EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM,"$2,948.00",
402,21932,PR EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL <5CM,"$4,133.33",
403,21933,PR EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL 5+CM,"$4,769.00",
404,21935,PR RAD RESECTION TUMOR SOFT TISSUE BACK/FLANK <5CM,"$6,520.00",
405,21936,PR RAD RESECTION TUMOR SOFT TISSUE BACK/FLANK 5CM/>,"$9,663.00",
406,22015,"PR I&D, POST SPINE, LUMB/SACR/LUMBOSAC","$4,688.00",
407,22100,"PR REMV PART POST CERV VERT,1 LVL","$3,240.60",
408,22101,"PR REMV PART POST THOR VERT,1 LVL","$2,880.00",
409,22102,"PR REMV PART POST LUMB VERT,1 LVL","$2,880.00",
410,22103,"PR REMV PART POST VERT,EA ADDN SGMT","$1,381.00",
411,22325,"PR OPEN POST RX LUMB VERT FX,1 LVL","$7,359.00",
412,22510,PR PERQ VERTEBROPLASTY UNI/BI INJX CERVICOTHORACIC,"$3,512.00",
413,22511,PR PERQ VERTEBROPLASTY UNI/BI INJECTION LUMBOSACRAL,"$3,267.00",
414,22512,PR VERTEBROPLASTY EACH ADDL CERVICOTHOR/LUMBOSACRAL,"$1,724.00",
415,22513,PR PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANNULATION,"$4,231.89",
416,22514,PR PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANNULJ LMBR,"$5,498.08",
417,22515,PR PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANNULJ EACH,"$1,724.00",
418,22551,"PR ARTHRODESIS ANT INTERBODY INC DISCECTOMY, CERVICAL BELOW C2","$10,194.00",
419,22552,"PR ARTHRODESIS ANT INTERBODY INC DISCECTOMY, CERVICAL BELOW C2 EACH ADDL","$2,764.00",
420,22554,"PR ARTHRODESIS ANT INTERBODY MIN DISCECTOMY, CERVICAL BELOW C2","$10,512.00",
421,22556,"PR ARTHRODESIS ANT INTERBODY MIN DISCECTOMY,THORACIC","$11,860.00",
422,22558,"PR ARTHRODESIS ANT INTERBODY MIN DISCECTOMY,LUMBAR","$10,899.00",
423,22585,"PR ARTHRODESIS ANT INTERBODY MIN DISCECTOMY,EA ADDL","$3,176.00",
424,22590,PR ARTHRODESIS POSTERIOR CRANIOCERVICAL,"$11,987.00",
425,22595,PR ARTHRODESIS POSTERIOR ATLAS-AXIS C1-C2,"$12,208.00",
426,22600,PR ARTHRODESIS POSTERIOR/POSTERIORLATERAL CERVICAL BELOW C2,"$10,512.00",
427,22610,PR ARTHRODESIS POSTERIOR/POSTEROLATERAL THORACIC,"$9,774.00",
428,22612,PR ARTHRODESIS POSTERIOR/POSTEROLATERAL LUMBAR,"$10,899.00",
429,22614,PR ARTHRODESIS POSTERIOR/POSTEROLATERAL EA ADDL,"$3,172.00",
430,22840,PR POSTERIOR NON-SEGMENTAL INSTRUMENTATION,"$7,041.00",
431,22842,PR POSTERIOR SEGMENTAL INSTRUMENTATION 3-6 VRT SEG,"$8,483.00",
432,22843,PR POSTERIOR SEGMENTAL INSTRUMENTATION 7-12 VRT SEG,"$9,332.00",
433,22845,PR ANTERIOR INSTRUMENTATION 2-3 VERTEBRAL SEGMENTS,"$8,852.00",
434,22846,PR ANTERIOR INSTRUMENTATION 4-7 VERTEBRAL SEGMENTS,"$9,738.00",
435,22848,PR PELVIC FIXATION OTHER THAN SACRUM,"$2,151.00",
436,22849,PR REINSERT SPINAL FIXATION,"$7,008.00",
437,22850,"PR REMOVE SPINE FIX DEV,HARRINGTON","$4,795.00",
438,22852,"PR REMOVE SPINE FIX DEV,POST SGMTAL","$5,533.00",
439,22853,PR INSJ BIOMCHN DEV INTERVERTEBRAL DSC SPC W/ARTHRD,"$1,845.00",
440,22854,PR INSJ BIOMCHN DEV VRT CORPECTOMY DEFECT W/ARTHRD,"$2,388.00",
441,22855,"PR REMOVE SPINE FIX DEV,ANTERIOR","$10,030.00",
442,22859,PR INSJ BIOMCHN DEV NTRVRT DISC SPACE W/O ARTHRD,"$2,388.00",
443,22899,PB UNLISTED PROCEDURE SPINE ,$1200-$12478,
444,22900,PR EXC TUMOR SOFT TISSUE ABDL WALL SUBFASCIAL <5CM,"$2,065.00",
445,22901,PR EXC TUMOR SOFT TISSUE ABDL WALL SUBFASCIAL 5+CM,"$4,332.00",
446,22902,PR EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ <3CM,"$1,894.00",
447,22903,PR EXC TUMOR SOFT TISSUE ABDOMINAL WALL SUBQ 3+CM,"$2,738.00",
448,22904,PR RAD RESECTION TUMOR SOFT TISSUE ABDL WALL <5CM,"$9,048.00",
449,22905,PR RAD RESECTION TUMOR SOFT TISSUE ABDL WALL 5 CM/>,"$9,247.00",
450,23030,"PR INCIS/DRAIN SHLDR ABSC/HEMA,DEEP","$1,502.00",
451,23066,PR BIOPSY SOFT TISSUE SHOULDER DEEP,"$1,243.00",
452,23071,PR EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3+CM,"$2,533.00",
453,23073,PR EXC TUMOR SOFT TISSUE SHOULDER SUBFASCIAL 5+CM,"$4,341.00",
454,23075,PR EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ <3CM,"$1,459.00",
455,23076,PR EXC TUMOR SOFT TISS SHOULDER SUBFASC <5CM,"$2,114.00",
456,23077,PR RAD RESECTION TUMOR SOFT TISSUE SHOULDER <5CM,"$9,178.00",
457,23078,PR RAD RESECTION TUMOR SOFT TISSUE SHOULDER 5 CM/>,"$10,147.00",
458,23120,"PR PARTIAL REMOVAL, CLAVICLE","$4,589.00",
459,23125,PR TOTAL REMOVAL OF CLAVICLE,"$4,737.00",
460,23130,"PR PARTIAL REMOVAL/REPAIR,ACROMION","$3,849.00",
461,23150,PR EXCIS/CURET BENIGN TUMR PROX HUMERUS,"$3,553.00",
462,23156,"PR EXCIS BENIG TUMR PROX HUMER,ALLOGRFT","$3,849.00",
463,23180,PR PART EXCIS CLAVICLE,"$3,140.00",
464,23182,PR PART EXCIS SCAPULA,"$2,369.00",
465,23184,PR PART EXCIS PROX HUMERUS,"$3,553.00",
466,23190,PR PART REMV SCAPULA,"$2,824.00",
467,23200,PR RAD RESECT CLAVICLE FOR TUMOR,"$5,715.00",
468,23210,PR RAD RESECT SCAPULA FOR TUMOR,"$5,921.00",
469,23220,PR RAD RESECT PROX HUMERUS FOR TUMOR,"$6,130.00",
470,23410,"PR REPAIR ROTATOR CUFF,ACUTE","$4,876.00",
471,23412,"PR REPAIR ROTATOR CUFF,CHRONIC","$5,329.00",
472,23415,PR CORACO-ACROMIAL LIG RELEASE,"$3,862.00",
473,23470,PR RECONSTRUCT PROX HUMERAL IMPLANT,"$5,921.00",
474,23472,PR RECONSTR TOTAL SHOULDER IMPLANT,"$7,816.00",
475,23473,PR REVIS SHOULDER ARTHRPLSTY HUMERAL/GLENOID COMPNT,"$10,057.00",
476,23474,PR REVIS SHOULDER ARTHRPLSTY HUMERAL&GLENOID COMPNT,"$10,946.00",
477,23480,PR OSTEOTOMY CLAVICLE,"$2,961.00",
478,23491,PR REINFORCE PROX HUMERUS/HEAD,"$4,441.00",
479,23515,PR OPEN TREATMENT CLAVICULAR FRACTURE INTERNAL FX,"$2,979.00",
480,23615,PR OPEN TREATMENT PROX HUMERAL FRACTURE,"$4,170.00",
481,23616,PR OPEN PROX HUMERAL FRACTURE PROSHETIC REPLACEMENT,"$11,028.21",
482,23700,PR MANIPULATN SHLDR JT W ANESTHESIA,"$1,217.00",
483,23900,PR AMPUTATION OF ARM & GIRDLE,"$7,566.00",
484,23920,PR AMPUTATION AT SHOULDER JOINT,"$5,660.00",
485,23929,PB UNLISTED PROCEDURE SHOULDER ,$1200-$6809,
486,23930,"PR INCIS/DRAIN ARM,DEEP ABSC/HEMATOMA","$1,163.00",
487,24006,PR ARTHROTOMY/CAPULE RELEASE ELBOW JT,"$3,781.00",
488,24065,"PR BX ARM/ELBOW SOFT TISSUE,SUPERFICIAL",$671.00,
489,24066,"PR BX ARM/ELBOW SOFT TISSUE,DEEP","$1,530.00",
490,24071,PR EXC TUMOR SOFT TISSUE UPPER ARM/ELBOW SUBQ 3+CM,"$2,443.00",
491,24073,PR EXC TUMOR SOFT TISS UPPER ARM/ELBW SUBFASC 5+CM,"$4,341.00",
492,24075,PR EXC TUMOR SOFT TISS UPPER ARM/ELBOW SUBQ <3CM,"$1,640.17",
493,24076,PR EXC TUMOR SOFT TISS UPR ARM/ELBOW SUBFASC <5CM,"$1,854.00",
494,24077,PR RAD RESECT TUMOR SOFT TISS UPPER ARM/ELBOW <5CM,"$5,794.00",
495,24079,PR RAD RESECT TUMOR SOFT TISS UPPER ARM/ELBOW 5CM/>,"$10,804.00",
496,24110,PR EXCIS/CURET BENIGN HUMERUS LESN,"$3,477.00",
497,24120,PR EXCIS/CURET BENIGN ELBOW LESN,"$5,158.00",
498,24140,PR PARTIAL REMOVAL HUMERUS,"$4,299.15",
499,24150,PR RADICAL RESEC MID/DIST HUMERUS,"$4,925.00",
500,24363,"PR ARTHROPLASTY,ELBOW,TOTAL PROSTH REPL","$9,560.00",
501,24370,PR REVIS ELBOW ARTHRPLSTY HUMERAL/ULNA COMPNT,"$9,473.00",
502,24498,PR REINFORCE HUMERUS,"$4,867.00",
503,24500,PR CLOSED RX MID HUMERUS FRACTURE,"$1,302.00",
504,24515,PR OPEN FIXATN MID HUMERUS FRACTURE,"$3,914.00",
505,24516,PR OPEN ROD FIXATN HUMERAL SHAFT FX,"$4,744.00",
506,24530,PR CLOSED RX HUMERAL SUPRACONDYLAR FX,"$1,408.00",
507,24546,PR OPEN TX HUMERAL SUPRACONDYLAR FRACTURE W XTN,"$6,140.00",
508,24605,"PR CLOSED RX ELBOW DISLOCATN,ANESTHESIA","$1,245.00",
509,24665,PR OPEN TX RADIAL HEAD/NECK FRACTURE,"$2,995.00",
510,24685,PR OPEN TX ULNAR FRACTURE PROX END,"$3,202.00",
511,24900,"PR AMPUTATN ARM,THRU HUMERUS,PRIM CLOS","$3,114.00",
512,24999,PB UNLISTED PROCEDURE HUMERUS/ELBOW ,$1200-$4744,
513,25000,"PR INCIS TENDON SHEATH,RADIAL STYLOID","$5,104.70",
514,25071,PR EXC TUMOR SOFT TISS FOREARM AND/WRIST SUBQ 3+CM,"$2,533.00",
515,25073,PR EXC TUMOR SFT TISS FOREARM&//WRIST SUBFASC 3+CM,"$3,055.00",
516,25075,PR EXC TUMOR SOFT TISSUE FOREARM &/WRIST SUBQ <3CM,"$2,000.00",
517,25076,PR EXC TUMOR SOFT TISS FOREARM&/WRIST SUBFASC <3CM,"$2,500.00",
518,25077,PR RAD RESECT TUMOR SOFT TISS FOREARM&/WRIST <3 CM,"$6,857.00",
519,25078,PR RAD RESCJ TUM SOFT TISSUE FOREARM&/WRIST 3 CM/>,"$7,581.00",
520,25110,"PR EXCIS TENDON SHEATH LESN,WRIST/FORE","$1,924.00",
521,25111,PR EXCIS PRIMARY GANGLION WRIST,"$3,511.00",
522,25118,"PR EXCIS SYNOV WRIST,EXTENS TENDON","$3,602.00",
523,25126,"PR EXCIS BENIGN LESN RAD/ULNA,ALOGRFT","$4,114.00",
524,25150,"PR PART REMOVAL BONE,ULNA","$3,428.00",
525,25151,"PR PART REMOVAL BONE,RADIUS","$3,428.00",
526,25210,PR REMOVAL OF CARPAL BONE,"$3,648.00",
527,25449,PR REMOVE WRIST JOINT IMPLANT,"$4,114.00",
528,25490,PR REINFORCE RADIUS,"$3,772.00",
529,25491,PR REINFORCE ULNA,"$3,772.00",
530,25515,PR OPEN TREATMENT RADIAL SHAFT FRACTURE,"$3,919.00",
531,25545,PR OPEN TREATMENT OF ULNAR SHAFT FRACTURE,"$4,254.00",
532,25560,PR CLOSED RX RAD/ULNA SHAFT FX,"$1,095.00",
533,25574,PR OPEN TX RADIAL & ULNAR SHAFT FX FIX RADIUS OR ULNA,"$4,051.00",
534,25575,PR OPEN TX RADIAL & ULNAR SHAFT FX FIX RADIUS AND ULNA,"$4,435.00",
535,25600,PR CLOSED RX DIST RAD/ULNA FX,$945.00,
536,25605,"PR CLOSED RX DIST RAD/ULNA FX,MANIPUL","$2,167.00",
537,25607,"PR OPEN RX DISTAL RADIUS FX, EXTRA-ARTICULAR","$5,639.60",
538,25608,"PR OPEN RX DISTAL RADIUS FX, INTRA-ARTICULAR, 2 FRAG","$15,128.21",
539,25609,"PR OPEN RX DISTAL RADIUS FX, INTRA-ARTICULAR, 3+ FRAG","$6,058.00",
540,25622,PR CLOSED RX NAVICULAR FX,"$1,013.00",
541,25830,PR FUSION RADIOULNAR JNT/ULNA RESEC,"$4,380.00",
542,25999,PB UNLISTED PROCEDURE FOREARM/WRIST ,$1500-$2244,
543,26010,"PR DRAIN FINGER ABSCESS,SIMPLE","$1,120.00",
544,26020,PR DRAIN HAND TENDON SHEATH,"$3,598.00",
545,26055,PR INCISE FINGER TENDON SHEATH,"$4,264.00",
546,26111,PR EX TUM/VASC MALF SFT TISS HAND/FNGR SUBQ 1.5+CM,"$4,767.52",
547,26113,PR EX TUM/VASC MAL SFT TIS HAND/FNGR SUBFSC 1.5+CM,"$2,288.00",
548,26115,PR EXC TUM/VASC MAL SFT TISS HAND/FNGR SUBQ <1.5CM,"$3,229.34",
549,26116,PR EXC TUM/VAS MAL SFT TIS HAND/FNGR SUBFASC<1.5CM,"$3,106.00",
550,26118,PR RAD RESCJ TUM SOFT TISSUE HAND/FINGER 3 CM/>,"$6,346.00",
551,26160,"PR EXCIS TENDON SHEATH LESION, HAND/FINGER","$2,108.00",
552,26200,"PR EXCIS BENIGN BONE LESN,METACARPAL","$2,042.00",
553,26205,"PR EXCIS/GRFT BENIGN LESN,METACARPAL","$2,722.00",
554,26210,"PR EXCIS BENIGN BONE LESN,PHALANX","$2,621.00",
555,26235,"PR PART REMV BONE,PROX/MID PHALANX","$2,469.00",
556,26250,PR RAD RESEC METACARPAL,"$9,564.53",
557,26410,"PR REPAIR EXTEN TENDON,DORSUM HAND,EA","$4,823.00",
558,26420,"PR REPAIR EXTEN TENDON,DORSUM FINGR,GRFT","$3,915.00",
559,26445,"PR TENOLYSIS EXT TENDON,HAND/FINGER,EA","$3,022.00",
560,26725,"PR CLOSE RX PROX/MID FING SHFT FX,MANIP","$5,888.89",
561,26727,PR PERCUT RX PROX/MID FING SHFT FX,"$2,593.00",
562,26910,PR AMPUTATE METACARPAL+FINGER,"$3,000.00",
563,26951,PR AMPUTATION FINGER/THUMB,"$2,469.00",
564,26952,PR AMPUTATION FINGER/THUMB+FLAPS,"$4,567.00",
565,26989,"PR UNLISTED PROCEDURE, HANDS OR FINGERS (BONE GRAFT WITH ALLOGRAFT)",$1002-$1500,
566,26990,"PR INCIS/DRAIN PELVIS/HIP,DEEP ABSCESS","$3,230.00",
567,27030,PR DRAINAGE OF HIP JOINT,"$5,204.00",
568,27036,PR RELEASE HIP FLEXION CONTRACTURE,"$5,868.00",
569,27041,"PR BX SOFT TISSUES,PELV/HIP,DEEP","$2,510.00",
570,27043,PR EXCISION TUMOR SOFT TISSUE PELVIS&HIP SUBQ 3+CM,"$2,948.00",
571,27045,PR EXC TUMOR SOFT TISSUE PELVIS & HIP SUBFASC 5+CM,"$5,008.00",
572,27047,PR EXC TUMOR SOFT TISSUE PELVIS & HIP SUBQ <3CM,"$1,643.00",
573,27048,PR EXC TUMOR SOFT TISSUE PELVIS & HIP SUBFASC <5CM,"$4,089.00",
574,27049,PR RAD RESECT TUMOR SOFT TISSUE PELVIS & HIP <5 CM,"$11,522.00",
575,27059,PR RAD RESECTION TUMOR SOFT TISS PELVIS&HIP 5 CM/>,"$13,206.00",
576,27062,PR REMOVE TROCH BURSA/CALCIFICATN,"$3,166.00",
577,27066,"PR EXCISISON BONE CYST BENIGN TUMOR,PELVIS/HIP,DEEP","$4,981.00",
578,27070,PR PARTIAL EXCISION SUPERFICIAL PELVIS,"$2,728.00",
579,27071,PR PARTIAL EXCISION DEEP PELVIS,"$5,138.00",
580,27075,PR RAD RESEC UNILAT ILEUM,"$9,638.46",
581,27076,PR RAD RESEC ILIUM+ACETABULUM,"$11,709.00",
582,27080,PR REMOVAL OF COCCYX,"$2,974.00",
583,27091,"PR REMOVAL OF HIP PROSTHESIS,COMPLEX","$11,522.00",
584,27093,PR INJECTION HIP ARTHROGRAM,"$1,052.00",
585,27096,"PR INJECTION,SACROILIAC JOINT","$1,288.00",
586,27098,PR ADDUCTOR TRANSFER TO ISCHIUM,"$5,947.00",
587,27122,"PR RECONSTRUC HIP SOCKET,RESEC FEM HEAD","$7,434.00",
588,27125,PR PARTIAL HIP REPLACEMENT,"$10,036.00",
589,27130,PR TOTAL HIP ARTHROPLASTY,"$14,124.00",
590,27132,PR CONV PREV HIP SURG TO TOT HIP ARTHROPLAS,"$16,726.00",
591,27134,PR REVISE TOTAL HIP REPLACEMENT,"$18,213.00",
592,27137,PR REVISE ACETABULAR PART OF TOTAL HIP,"$14,496.00",
593,27138,PR REVISE FEM PART OFTOTAL HIP,"$14,496.00",
594,27165,PR OSTEOTOMY/FIX INTER/SUBTROCH FEMUR,"$9,144.00",
595,27185,"PR EPIPHYSEAL ARREST,GREATER TROCHANTER","$4,089.00",
596,27187,PR REINFORCE HIP BONES,"$8,586.00",
597,27200,PR CLOSED RX COCCYGEAL FX,$764.00,
598,27215,"PR OPEN FIX ILIAC FX,INTERN FIXATN","$5,940.00",
599,27216,PR PERCUT FIX POST PELV RING FX,"$4,200.00",
