SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Emergency Room Services,ED DRAIN EXTERNAL EAR ABSCESS/HEMA SIMP,$428.50 
Emergency Room Services,ED DRAINAGE ABSCESS DENTOALVEOLAR,$378.50 
Emergency Room Services,ED DRAINAGE FINGER ABSCESS COMPLICATED,"$1,968.00 "
Emergency Room Services,ED DRAINAGE OF FINGER ABSCESS SIMPLE,$393.75 
Emergency Room Services,ED DRAINAGE SCROTAL WALL ABSCESS,"$1,800.00 "
Emergency Room Services,ED DRESS/DEBRID BURNS 5-10% BODY AREA,$319.50 
Emergency Room Services,ED DRESSING/DEBRID BURNS < 5% BODY AREA,$376.25 
Emergency Room Services,ED DRESSING/DEBRID BURNS >10% BODY AREA,$433.00 
Emergency Room Services,ED EVACUATE SUBUNGUAL HEMATOMA,$273.25 
Emergency Room Services,ED EXCISE NAIL&MATRIX PART/COMPL PERMNT,$691.00 
Emergency Room Services,ED I&D ABSCESS COMPLEX/MULTIPLE,$485.50 
Emergency Room Services,ED I&D ABSCESS PERITONSILLAR,$637.50 
Emergency Room Services,ED I&D ABSCESS SIMPLE/SINGLE,$402.25 
Emergency Room Services,ED I&D BARTHOLIN GLAND ABSCESS,$648.25 
Emergency Room Services,ED I&D EPIDIDYMIS TESTIS,"$3,118.00 "
Emergency Room Services,ED I&D HEMATOMA/SEROMA/FLUID,"$2,089.50 "
Emergency Room Services,ED I&D ISCHIO/PERIRECTAL ABSCESS,"$4,646.25 "
Emergency Room Services,ED I&D PERIANAL ABSCESS SUPERFICIAL,"$1,143.50 "
Emergency Room Services,ED I&D PILONIDAL CYST SIMPLE,$387.75 
Emergency Room Services,ED I&D POST-OP WOUND COMPLEX,"$3,065.25 "
Emergency Room Services,ED I&D VULVA/PERINEAL ABSCESS,$976.75 
Emergency Room Services,ED INCIS THROMBOSED HEMORRHOID EXTERNAL,$515.50 
Emergency Room Services,ED INDUCE ABORTION VAGINAL SUPPOSITORY,$512.50 
Emergency Room Services,ED INJ ANES AGNT OTHR PERIPH NRVE/BRNCH,$841.50 
Emergency Room Services,ED INJ ANESTH AGNT FACIAL NERVE,$449.00 
Emergency Room Services,ED INSERT BLADDER CATH NON INDWELLING,$309.25 
Emergency Room Services,ED INSERT BLADDER CATH TEMP COMPLEX,$460.75 
Emergency Room Services,ED INSERT BLADDER CATH TEMP SIMPLE,$312.25 
Emergency Room Services,ED INSERT NON-TUNNELED CICC <5 YR,"$1,371.25 "
Emergency Room Services,ED INSERT NON-TUNNELED CICC >= 5 YR,"$1,420.00 "
Emergency Room Services,ED INSERT/REPLC TEMP SINGLE CHAMB PACER,"$8,808.50 "
Emergency Room Services,ED INTUBATION ENDOTRACHEAL,$803.50 
Emergency Room Services,ED LARYNGOSCOPY INDIRECT DX,$389.25 
Emergency Room Services,ED LARYNGOSCOPY INDRECT W/ REMOVAL FB,$354.25 
Emergency Room Services,ED LAVAGE/ASPIRATION GASTRIC,$694.75 
Emergency Room Services,ED MASTOTOMY W/EXPLORE DRAINAGE ABSCESS,"$1,832.25 "
Emergency Room Services,ED PERICARDIOCENTESIS INITIAL,"$2,399.75 "
Emergency Room Services,ED PERITONSILLAR ASPIRATION,$299.25 
Emergency Room Services,ED PLACE NEEDLE INTRAOSSEOUS INFUSION,$415.00 
Emergency Room Services,ED PUNCTURE SPINAL LUMBAR DIAGNOSTIC,"$1,312.25 "
Emergency Room Services,ED PUNCTURE/ASPIRATE ABSCESS/HEMATOMA,$555.50 
Emergency Room Services,ED REMOVAL INTRAUTERINE DEVICE,$466.75 
Emergency Room Services,ED REMOVE FB CONJUNCTIVAL/SCLERAL,$127.00 
Emergency Room Services,ED REMOVE FB CORNEA W/ SLIT LAMP,$359.00 
Emergency Room Services,ED REMOVE FB CORNEA W/O SLIT LAMP,$568.00 
Emergency Room Services,ED REMOVE FB EXT AUDITORY CANAL,$247.50 
Emergency Room Services,ED REMOVE FB EXTERNAL EYE,$186.75 
Emergency Room Services,ED REMOVE FB FOOT DEEP,"$2,173.00 "
Emergency Room Services,ED REMOVE FB FOOT SUBQ,"$1,000.00 "
Emergency Room Services,ED REMOVE FB INTRANASAL OFFICE PX,$202.50 
Emergency Room Services,ED REMOVE FB PHARYNX,$369.50 
Emergency Room Services,ED REMOVE FB VESTIBULE MOUTH SIMPLE,$267.00 
Emergency Room Services,ED REMOVE FOREIGN BODY COMPLICATED,"$1,632.00 "
Emergency Room Services,ED REMOVE FOREIGN BODY SIMPLE/SUBQ,$407.75 
Emergency Room Services,ED REMOVE IMPACTED CERUMEN W/INSTR UNI,$124.00 
Emergency Room Services,ED REMOVE IMPACTED CERUMEN W/IRR/LAVAGE,$132.00 
Emergency Room Services,ED REMOVE/BIVALVE CAST GAUNTLT/BOOT/BOD,$218.00 
Emergency Room Services,ED REP LAC ANT 2/3 TONG/MOUTH <= 2.5CM,$402.25 
Emergency Room Services,ED REP LAC POST 1/3 TONGUE<= 2.5CM,$950.25 
Emergency Room Services,ED REP WND INT FACE/EAR/EYE 5.1-7.5 CM,$739.25 
Emergency Room Services,ED REP WND INT FACE/EAR/EYE/LIP 2.6-5CM,$719.00 
Emergency Room Services,ED REP WND INT FCE/EAR/EYE/LIP 0-2.5 CM,$643.50 
Emergency Room Services,ED REP WND INT HD/TRUNK/EXTR 2.6-7.5 CM,$719.75 
Emergency Room Services,ED REP WND INT HD/TRUNK/EXTR 7.6-12.5CM,$753.75 
Emergency Room Services,ED REP WND INT HEAD/TRNK/EXTR 12.6-20CM,$787.50 
Emergency Room Services,ED REP WND INT HEAD/TRUNK/EXTR 0-2.5 CM,$483.00 
Emergency Room Services,ED REP WND INT NECK/HND/FT/GEN 0-2.5 CM,232.75
Emergency Room Services,ED REP WND INT NK/HND/FT/GEN 2.6-7.5 CM,$308.00 
Emergency Room Services,ED REP WND SIMP FACE/EAR/EYE 12.6-20CM,$702.50 
Emergency Room Services,ED REP WND SIMP FACE/EAR/EYE 5.1-7.5 CM,$550.00 
Emergency Room Services,ED REP WND SIMP FACE/EAR/EYE 7.6-12.5CM,$581.00 
Emergency Room Services,ED REP WND SIMP FCE/EAR/EYE/LIP 0-2.5CM,$442.25 
Emergency Room Services,ED REP WND SIMP FCE/EAR/EYE/LIP 2.6-5CM,$539.00 
Emergency Room Services,ED REP WND SIMP HD/TRNK/EXTR 7.6-12.5CM,$614.00 
Emergency Room Services,ED REP WND SIMP HD/TRUNK/EXTR 2.6-7.5CM,$608.25 
Emergency Room Services,ED REP WND SIMP HEAD/TRNK/EXTR12.6-20CM,$643.75 
Emergency Room Services,ED REP WND SIMP HEAD/TRUNK/EXTR 0-2.5CM,$558.50 
Emergency Room Services,ED REPAIR LIP FULL THICK VERMILION ONLY,"$1,278.25 "
Emergency Room Services,ED REPAIR NAIL BED,$444.00 
Emergency Room Services,ED REPAIR/REDUCE INGUINAL HERNIA,"$8,066.00 "
Emergency Room Services,ED STRAPPING ANKLE AND/OR FOOT,$276.50 
Emergency Room Services,ED STRAPPING ELBOW OR WRIST,$244.00 
Emergency Room Services,ED STRAPPING HAND OR FINGER,$365.50 
Emergency Room Services,ED STRAPPING KNEE,$453.25 
Emergency Room Services,ED STRAPPING SHOULDER,$349.25 
Emergency Room Services,ED STRAPPING TOES,$244.00 
Emergency Room Services,ED TEMPORARY TRANSCUTANEOUS PACING,$480.00 
Emergency Room Services,ED THORACENTESIS W/ IMAGING GUIDANCE,"$1,585.50 "
Emergency Room Services,ED THORACENTESIS W/O IMAGING GUIDANCE,"$1,043.50 "
Emergency Room Services,ED TRACHEOSTOMY CRICOTHYROID MEMBRANE,"$3,763.75 "
Emergency Room Services,ED TUBE THORACOSTOMY OPEN,"$1,289.50 "
Emergency Room Services,ED TX CLSD DISLOC ANKLE W/O ANES,$465.50 
Emergency Room Services,ED TX CLSD DISLOC ELBOW W/O ANES,$547.50 
Emergency Room Services,ED TX CLSD DISLOC HIP TRAUMA W/O ANES,$580.00 
Emergency Room Services,ED TX CLSD DISLOC INTRPHALGL W/ MANIP,$521.50 
Emergency Room Services,ED TX CLSD DISLOC KNEE W/O ANES,$500.00 
Emergency Room Services,ED TX CLSD DISLOC PATELLA W/O ANES,$491.75 
Emergency Room Services,ED TX CLSD DISLOC SHOULDER W/ MANIP,$883.50 
Emergency Room Services,ED TX CLSD DISLOC TMJ INITIAL/SUBSEQ,$504.50 
Emergency Room Services,ED TX CLSD DISLOC TOE W/O ANES,$380.50 
Emergency Room Services,ED TX CLSD DSLC HIP ARTHRPLSTY W/O ANES,"$1,083.00 "
Emergency Room Services,ED TX CLSD FX ARTICULAR W/ MANIP EA,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX BIMALLEOLR ANKL W/ MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX BIMALLEOLR ANKL W/O MANIP,$944.25 
Emergency Room Services,ED TX CLSD FX CALCANEAL W/O MANIP,$509.25 
Emergency Room Services,ED TX CLSD FX CARPL BONE W/O MANIP EACH,$964.50 
Emergency Room Services,ED TX CLSD FX CLAVICLE W/O MANIP,$797.25 
Emergency Room Services,ED TX CLSD FX DISTAL RADIAL W/ MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX DISTAL RADIAL W/O MANIP,$400.25 
Emergency Room Services,ED TX CLSD FX DISTAL TIBULA,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX FEMORAL SHAFT W/MANIP,"$3,894.00 "
Emergency Room Services,ED TX CLSD FX FEMORAL SHAFT W/O MANIP,"$1,084.75 "
Emergency Room Services,ED TX CLSD FX GREAT TOE W/ MANIP,$264.00 
Emergency Room Services,ED TX CLSD FX GREAT TOE W/O MANIP,$180.00 
Emergency Room Services,ED TX CLSD FX HIP W/O MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX HUMERAL EPICOND W/O MANIP,"$1,048.25 "
Emergency Room Services,ED TX CLSD FX LAT MALLEOLUS W/ MANIP,"$1,171.50 "
Emergency Room Services,ED TX CLSD FX LAT MALLEOLUS W/O MANIP,$750.00 
Emergency Room Services,ED TX CLSD FX MED MALLEOLUS W/ MANIP,"$3,000.00 "
Emergency Room Services,ED TX CLSD FX MED MALLEOLUS W/O MANIP,$958.00 
Emergency Room Services,ED TX CLSD FX METACARPAL W/ MANIP EACH,$756.25 
Emergency Room Services,ED TX CLSD FX METACARPAL W/O MANIP EACH,$680.75 
Emergency Room Services,ED TX CLSD FX METATARSAL W/ MANIP EACH,$715.25 
Emergency Room Services,ED TX CLSD FX METATARSAL W/O MANIP EACH,$479.25 
Emergency Room Services,ED TX CLSD FX NAVICULAR W/O MANIP,$950.50 
Emergency Room Services,ED TX CLSD FX PATELLAR W/O MANIP,"$1,082.25 "
Emergency Room Services,ED TX CLSD FX PHALANG SHFT W/ MANIP EA,$526.00 
Emergency Room Services,ED TX CLSD FX PHALANG SHFT W/O MANIP EA,$360.00 
Emergency Room Services,ED TX CLSD FX PHALANGE W/ MANIP EACH,$576.25 
Emergency Room Services,ED TX CLSD FX PHALANGE W/O MANIP EACH,$420.25 
Emergency Room Services,ED TX CLSD FX POST MALLEOLUS W/O MANIP,$944.25 
Emergency Room Services,ED TX CLSD FX PROX FIBIA/SHFT W/O MANIP,$961.25 
Emergency Room Services,ED TX CLSD FX PROX HUMERAL W/O MANIP,$571.00 
Emergency Room Services,ED TX CLSD FX RADIAL HEAD/NECK W/O MANI,$405.00 
Emergency Room Services,ED TX CLSD FX RADIAL SHAFT W/ MANIP,"$1,130.50 "
Emergency Room Services,ED TX CLSD FX RADIAL SHAFT W/O MANIP,$904.00 
Emergency Room Services,ED TX CLSD FX TIBIAL PROXIMAL W/ MANIP,"$3,500.25 "
Emergency Room Services,ED TX CLSD FX TIBIAL PROXIMAL W/O MANIP,$912.75 
Emergency Room Services,ED TX CLSD FX TIBIAL SHAFT W/ MANIP,"$3,000.00 "
Emergency Room Services,ED TX CLSD FX TIBIAL SHAFT W/O MANIP,$750.00 
Emergency Room Services,ED TX CLSD FX TRIMALLELR ANKL W/ MANIP,"$1,127.00 "
Emergency Room Services,ED TX CLSD FX TRIMALLELR ANKL W/O MANIP,$975.50 
Emergency Room Services,ED TX CLSD FX ULNAR SHAFT W/O MANIP,$904.00 
Emergency Room Services,ED TX CLSD FX ULNAR STYLOID,$904.00 
Emergency Room Services,ED TX CLSD FX/DISLOC ELBOW W/ MANIP,"$1,478.75 "
Emergency Room Services,ED TX CLSD METACARPOLPHALANGEAL W/MANIP,$435.50 
Emergency Room Services,ED TX CLSD SUBLUX RADIAL HEAD W/ MANIP,$400.00 
Emergency Room Services,ED TX ELBOW DISLOC W/ ANES,"$2,789.00 "
Emergency Room Services,ED TX INITIAL 1ST DEGREE BURN LOCAL,$226.75 
Emergency Room Services,ED TX WOUND DEHISCENCE SIMPLE CLOSURE,$440.00 
Emergency Room Services,ED VAGINAL DELIVERY W/W/O EPISIOT/FRCP,"$1,910.00 "
Emergency Room Services,ED WEDGE EXCISION SKIN OF NAIL FOLD,$478.25 
Emergency Room Services,ER CRITICAL CARE 1ST 30-74 MINUTES,"$3,750.00 "
Emergency Room Services,ER CRITICAL CARE EACH ADDL 30 MINUTES,$776.00 
Emergency Room Services,ER VISIT LEVEL 1,$350.00 
Emergency Room Services,ER VISIT LEVEL 2,$725.00 
Emergency Room Services,ER VISIT LEVEL 3,"$1,700.00 "
Emergency Room Services,ER VISIT LEVEL 4,"$2,600.00 "
Emergency Room Services,ER VISIT LEVEL 5,"$3,200.00 "
Emergency Room Services,INTRAORAL I&D TONGUE/FLOOR LINGUAL,"$2,198.00 "
Gastrointestinal Services,ANORECTAL MANOMETRY,"$1,154.00 "
Gastrointestinal Services,ANOSCOPY AND DILATION,"$3,744.00 "
Gastrointestinal Services,ANOSCOPY DX W/W/O BRUSH/WASH,$313.50 
Gastrointestinal Services,ANOSCOPY W/ BX SINGLE/MULTIPLE,"$1,700.00 "
Gastrointestinal Services,ANOSCOPY W/DIR SUBMUSC INJ FECAL INCONT,"$7,954.25 "
Gastrointestinal Services,BREATH HYDROGEN OR METHANE TEST,$707.50 
Gastrointestinal Services,CANCER SCREEN COLON FLEX SIG,"$1,583.75 "
Gastrointestinal Services,CANCER SCREEN COLON HI RISK,"$3,319.75 "
Gastrointestinal Services,CANCER SCREEN COLON NOT HI RISK,"$3,692.00 "
Gastrointestinal Services,CHANGE GASTROSTOMY TUBE W/O GUIDANCE,$894.25 
Gastrointestinal Services,COLNSCPY W/ REMV TUMOR/POLYP/LES SNARE,"$3,087.82 "
Gastrointestinal Services,COLONOSCOPY DX W/W/O BRUSH/WASH,"$3,059.35 "
Gastrointestinal Services,COLONOSCOPY FLEX W/ BAND LIGATION,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY FLEX W/ DECOMPRESSION,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY FLEX W/ ENDO MUCOSAL RESECT,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY STOMA DIRECT SUBMUCOSAL INJ,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY STOMA DX W/W/O BRUSH/WASH,"$3,236.50 "
Gastrointestinal Services,COLONOSCOPY STOMA ENDO US W/ FNA/BX,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY STOMA ENDOSCOPIC US,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY STOMA W/ BALLOON DILATION,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY STOMA W/ BX SINGLE/MULTIPLE,"$1,667.50 "
Gastrointestinal Services,COLONOSCOPY STOMA W/ DECOMPRESSION,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY STOMA W/ REMOVAL SNARE,"$3,055.75 "
Gastrointestinal Services,COLONOSCOPY STOMA W/CONTROL BLEEDING,"$3,349.75 "
Gastrointestinal Services,COLONOSCOPY STOMA W/ENDO MUCOSAL RESECT,"$2,415.50 "
Gastrointestinal Services,COLONOSCOPY STOMA W/STENT PLACEMENT,"$3,696.00 "
Gastrointestinal Services,COLONOSCOPY W/ ABLATE TUMOR/POLYP/LES,"$3,243.00 "
Gastrointestinal Services,COLONOSCOPY W/ BX SINGLE/MULTIPLE,"$3,388.25 "
Gastrointestinal Services,COLONOSCOPY W/ CONTROL BLEEDING,"$4,050.00 "
Gastrointestinal Services,COLONOSCOPY W/ DIRECTED SUBMUCOSAL INJ,"$2,625.75 "
Gastrointestinal Services,COLONOSCOPY W/ ENDOSCOPIC US,"$1,990.25 "
Gastrointestinal Services,COLONOSCOPY W/ REMOVAL FOREIGN BODY,"$2,541.75 "
Gastrointestinal Services,COLONOSCOPY W/ STENT PLACEMENT,"$3,700.00 "
Gastrointestinal Services,COLONOSCOPY W/ TRANSENDOBALLOON DILAT,"$2,532.75 "
Gastrointestinal Services,COLONOSCOPY W/TRANSENDO US GUIDED FNA,"$1,700.00 "
Gastrointestinal Services,COLONOSCPY STOMA W/ABLATE TUMR/PLYP/LES,"$2,415.50 "
Gastrointestinal Services,COLONOSCPY W/RMV TMR/PLYP/LS HT BX FRCP,"$3,275.50 "
Gastrointestinal Services,DESTRUCT HEMORRHOID THERMAL ENERGY,"$1,187.50 "
Gastrointestinal Services,DILATE ESOPHAGUS BOUGIE SING/MULT PASS,"$1,466.25 "
Gastrointestinal Services,EGD FLEX ORAL W/ REMV TMR/PLYP/LES SNRE,"$3,155.00 "
Gastrointestinal Services,EGD FLEX ORAL W/DEL THERML ENERGY GERD,"$6,874.75 "
Gastrointestinal Services,EGD FLEX ORAL W/INTRLUMNL TBE/CTH PLACE,"$3,854.75 "
Gastrointestinal Services,EGD FLEX ORL REMV TMR/PLYP/LES HOT FRCP,"$2,255.75 "
Gastrointestinal Services,EGD FLEX ORL W/INJ SCLR ESPH/GASTVARICS,"$3,044.25 "
Gastrointestinal Services,EGD FLEX TRANORAL W/BALLOON DILAT <30MM,"$3,012.75 "
Gastrointestinal Services,EGD FLEX TRANSORAL DX W/W/O BRUSH/WASH,"$2,754.25 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/ DIR SUBMUCSL INJ,"$3,103.50 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/ DRAIN PSEUDOCYST,"$2,794.50 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/ REMOVAL FB,"$3,309.25 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/ STENT PLACEMENT,"$5,373.25 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/ US GUIDED FNA/BX,"$3,564.00 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/BIOPSY SINGLE/MULT,"$3,041.75 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/CONTROL BLEEDING,"$3,759.00 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/DILAT GASTR/DUOD,"$2,883.00 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/DIR PLACE PEG TUBE,"$3,225.25 "
Gastrointestinal Services,EGD FLEX TRANSORAL W/INSRT GW & DILATE,"$2,314.75 "
Gastrointestinal Services,EGD FLEX TRANSORL ENDO MUCOSAL RESECT,"$2,041.75 "
Gastrointestinal Services,EGD FLEX TRANSORL US TRANSMURL INJ/MARK,"$3,085.00 "
Gastrointestinal Services,EGD FLEX TRANSORL W BALLN DILAT>30MM,"$2,056.75 "
Gastrointestinal Services,EGD FLEX TRANSORL W/ABLATE TMR/PLYP/LES,"$3,085.00 "
Gastrointestinal Services,EGD FLEX TRANSORL W/US ESOPH/STOM/DUOD,"$3,076.50 "
Gastrointestinal Services,EGD FLEX TRANSORL W/US GUID FNA/BX,"$2,919.75 "
Gastrointestinal Services,EGD FLX ORL W/BND LIGAT ESPH/GST VARICS,"$3,004.00 "
Gastrointestinal Services,EGD FLX ORL W/US ESPH/STMCH/DUOD/JEJENM,"$4,232.50 "
Gastrointestinal Services,EGD OPTICAL ENDOMICROSCOPY,"$3,046.50 "
Gastrointestinal Services,ENDO SMALL BOWEL FOREIGN BODY REMOVAL,"$2,756.00 "
Gastrointestinal Services,ENDOSCOPIC CANNULATION W/ VISUAL,"$4,583.50 "
Gastrointestinal Services,ENDOSCOPY SM INTESTINE POUCH W/ BIOPSY,"$2,335.50 "
Gastrointestinal Services,ENDOSCPY BOWEL POUCH DX W/W/O BRUSH/WSH,"$2,263.75 "
Gastrointestinal Services,ENTRSCPY BX SINGLE/MULTIPLE,"$3,052.00 "
Gastrointestinal Services,ENTRSCPY DX W/W/O BUSHING/WASHING,"$3,028.25 "
Gastrointestinal Services,ENTRSCPY W/ ABLATION TUMR/POLYP/LESION,"$2,955.00 "
Gastrointestinal Services,ENTRSCPY W/ CONTROL BLEEDING,"$3,050.75 "
Gastrointestinal Services,ENTRSCPY W/ PLACEMENT PEJ TUBE,"$3,055.75 "
Gastrointestinal Services,ENTRSCPY W/ PLACEMENT PEJ TUBE,"$3,055.75 "
Gastrointestinal Services,ENTRSCPY W/ STENT PLACEMENT,"$3,696.00 "
Gastrointestinal Services,ENTRSCPY W/REMV TUMR/POL/LES SNARE,"$2,893.75 "
Gastrointestinal Services,ERCP DUCT STENT PLACEMENT,"$5,888.50 "
Gastrointestinal Services,ERCP REMOVE/EXCHANGE STENT W/ DILATE,"$5,888.50 "
Gastrointestinal Services,ERCP W/ BX SINGLE/MULTIPLE,"$5,942.75 "
Gastrointestinal Services,ERCP W/ DESTRUCT CALCULI ANY METHOD,"$3,001.25 "
Gastrointestinal Services,ERCP W/ ENDO BALLN DILATE INDUCT/AMPLLA,"$5,888.50 "
Gastrointestinal Services,ERCP W/ SPHINCTEROTOMY/PAPILLOTOMY,"$3,646.75 "
Gastrointestinal Services,ERCP W/ STONE REMOVAL,"$3,646.50 "
Gastrointestinal Services,ERCP W/ABLATE TMR/PLYP/LES DILATE,"$5,888.50 "
Gastrointestinal Services,ERCP W/PRESSURE MEASUREMENT SPHINCTER,"$4,512.25 "
Gastrointestinal Services,ERCP W/REMOVAL FB/STENT DUCT,"$5,888.50 "
Gastrointestinal Services,ERCP W/W/O BRUSH/WASH,"$4,687.00 "
Gastrointestinal Services,ESOPH FLEX ORAL W/ABLATE TMR/PLYP/LES,"$4,996.00 "
Gastrointestinal Services,ESOPH FLEX TRANORAL W/ DILAT RETROGRADE,"$3,085.00 "
Gastrointestinal Services,ESOPH FLEX TRANSNASAL W/BX SINGLE/MULT,"$2,041.75 "
Gastrointestinal Services,ESOPH FLEX TRANSNASL DX W/W/O BRUSH/WSH,"$2,041.75 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL DX W/W/O BRUSH/WSH,"$1,925.75 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL STENT PLACMENT,"$4,814.25 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL W BALLN DILAT<30MM,"$2,884.00 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL W BALLN DILAT>30MM,"$2,056.75 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL W/ ENDOSCOPIC US,"$2,471.25 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL W/BX SINGLE/MULT,"$3,477.00 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL W/CONTROL BLEEDING,"$1,574.00 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL W/DIR SUBMUCSL INJ,"$2,737.25 "
Gastrointestinal Services,ESOPH FLEX TRANSORAL W/US GUIDED FNA/BX,"$2,529.00 "
Gastrointestinal Services,ESOPH FLEX TRANSORL ENDO MUCOSAL RESECT,"$2,041.75 "
Gastrointestinal Services,ESOPH FLEX TRANSORL W/BND LIGAT VARICL,"$1,486.75 "
Gastrointestinal Services,ESOPH FLEX TRANSORL W/INJ SCLERO VARICL,"$4,517.50 "
Gastrointestinal Services,ESOPH FLX ORAL W/REMV TMR/PLYP/LES SNRE,"$3,688.00 "
Gastrointestinal Services,ESOPH OPTICAL ENDOMICROSCOPY,"$3,258.00 "
Gastrointestinal Services,ESOPH RIGID TRANSORAL W/ REMOVAL FB,"$3,085.00 "
Gastrointestinal Services,ESOPH RIGID TRANSORAL W/BX SINGLE/MULT,"$3,085.00 "
Gastrointestinal Services,ESOPH RIGID TRANSORL DX W/W/O BRUSH/WSH,"$2,041.75 "
Gastrointestinal Services,ESOPH RIGID TRANSORL W BALLN DILAT<30MM,"$2,571.00 "
Gastrointestinal Services,ESOPH RIGID TRANSORL W/DIR SUBMUCSL INJ,"$2,925.00 "
Gastrointestinal Services,ESOPH RIGID TRANSORL W/INSRT GW & DILAT,"$3,085.00 "
Gastrointestinal Services,ESOPHAGEAL MOTILITY,"$1,375.25 "
Gastrointestinal Services,ESOPHAGEAL MOTILITY W/ HIGH RESOLUTION,$873.25 
Gastrointestinal Services,ESOPHAGEAL MOTILITY W/ STIM/PERFUSE,$873.25 
Gastrointestinal Services,ESOPHAGO FLEX TRANSORAL W/ REMOVAL FB,"$3,542.25 "
Gastrointestinal Services,ESOPHAGOSCOPY RIGID TRANSORAL DIVERT,"$5,951.50 "
Gastrointestinal Services,FLEX SIG DX W/W/O BRUSH/WASH,"$1,678.25 "
Gastrointestinal Services,FLEX SIG W/ ABLATION TUM/POLYP/LES,"$2,314.50 "
Gastrointestinal Services,FLEX SIG W/ BAND LIGATION,"$2,530.50 "
Gastrointestinal Services,FLEX SIG W/ BX SINGLE/MULTIPLE,"$2,086.00 "
Gastrointestinal Services,FLEX SIG W/ CONTROL BLEEDING,"$2,305.25 "
Gastrointestinal Services,FLEX SIG W/ DIRECTED SUBMUCOSAL INJ,"$3,339.75 "
Gastrointestinal Services,FLEX SIG W/ ENDOSCOPIC US,"$3,568.75 "
Gastrointestinal Services,FLEX SIG W/ GUIDED FNA/BX,"$2,394.50 "
Gastrointestinal Services,FLEX SIG W/ REMOVAL FB,"$2,338.25 "
Gastrointestinal Services,FLEX SIG W/ REMV TU/POLYP/LES SNARE,"$3,126.25 "
Gastrointestinal Services,FLEX SIG W/ STENT PLACEMENT,"$3,696.00 "
Gastrointestinal Services,FLEX SIG W/ TRANSENDO BALLOON DILAT,"$2,982.25 "
Gastrointestinal Services,FLEX SIG W/DECOMPRESSION W/W/O TUBE PLC,"$3,817.00 "
Gastrointestinal Services,FLEX SIG W/ENDOSCOPIC MUCOSAL RESECTION,"$2,530.50 "
Gastrointestinal Services,FLEX SIG W/REMV TMR/PYLP/LS HOT BX FRCP,"$2,048.00 "
Gastrointestinal Services,GASTRO/ESOPHAGEAL REFLUX W/ MUCOSAL PH,"$1,884.75 "
Gastrointestinal Services,GASTRO/ESOPHAGEAL REFLUX W/ NASAL PH,"$1,012.50 "
Gastrointestinal Services,GI TRACT IMAGING ESOPHAGUS I&R,"$2,530.75 "
Gastrointestinal Services,GI TRACT IMAGING ESOPHAGUS THRU ILEUM,"$3,007.75 "
Gastrointestinal Services,GI TRANSIT & PRESSURE MEASUREMENT W/I&R,$930.50 
Gastrointestinal Services,HEMORRHOIDECTOMY LIGATION OTHER,"$1,980.00 "
Gastrointestinal Services,HEMORRHOIDECTOMY RUBBER BAND LIGATION,"$1,179.50 "
Gastrointestinal Services,HIGH RESOLUT ANOSCPY DX W/BX SNGL/MLT,"$2,000.00 "
Gastrointestinal Services,HIGH RESOLUTION ANOSCPY DX W/BRUSH/WASH,$403.00 
Gastrointestinal Services,ILEOSCOPY STOMA BX SINGLE/MULTIPLE,"$3,532.50 "
Gastrointestinal Services,ILEOSCOPY STOMA DX W/W/O BRUSH/WASH,"$2,468.25 "
Gastrointestinal Services,ILEOSCOPY STOMA W/ STENT PLACEMENT,"$3,696.00 "
Gastrointestinal Services,ILEOSCOPY STOMA W/ENDO BALLOON DILATION,"$2,606.75 "
Gastrointestinal Services,INSERT GASTRO TUBE PERCUT W/CONTRAST,"$1,910.50 "
Gastrointestinal Services,PERQ/CYRO ABLATION LIVER TUMORS,"$12,525.50 "
