DESCRIPTION,CHARGE
B12 DETERMINATION,353
"BACITRACIN 50,000U INJ",68
BACITRACIN OINT (15G),11
BACITRACIN OINT 30GM,32
BACITRACIN OINT PKTS,1
BACITRACIN OPHTH OINT 3.5GM,424
"BACLOFEN TAB, 10MG",3
"BACTERIAL SCREEN, SINGLE ORGANISM",240
"BACTRIM INJ, 80MG TMP/5ML 10ML",76
BACTRIM SUSPENSION 20ML,2
"BACTRIM TAB, 400/80",4
"BACTRIM-DS TAB, 800/160",2
BAG NEURO EXT DRAIN CODMAN821732,211
BAG RESUS ADULT MSK & 02,51
BAG SPECIMEN MONARCH,459
BALDE SAW 90X13X1.19 6113169090,255
BALL ARTICULEZE 28 +1.5 GR,"3,488"
BALL LUTONIX035X150 LX3513051505F,"10,508"
BALL TIP NEURO PROBE 302404000160,739
"BALL.DILAT.IC VASOSPASM,EA.ADDL.","4,652"
"BALL.DILAT.IC VASOSPASM,INIT.VESS","11,487"
BALL.DIL-URETRL STRICT-IMAG.GUID,"2,930"
"BALLO DISTEN,1500CC OMS-PDBS2","1,955"
BALLOON CUTTING 8MMX2CMX90CM,"4,083"
BALLOON FOR BFUC160F MAJ1351,118
BALLOON PUMP PERCUT INSERT,"16,120"
BALLOON PUMP PERCUT.REMOVAL,"1,307"
"BALLOON, VALVULOPLASTY","3,958"
"BALLOON,CAROTID,PTA,AVIATOR,CORDI","2,984"
BALMEX OINT (60GM),14
BAND ANNULO MITRAL CG FUTURE 28MM,"16,846"
"BAR,ARCH,DENTAL,ERICH",207
"BAR,LOCKING,(141205)",867
BARIUM ENEMA,"1,048"
BARIUM ENEMA WITH AIR,"1,248"
BARRIER ADHESINTERCEED3X4MESH4350,"1,805"
BARTONELLA ANTIBODY PANEL,240
BASE PL TIBMAKOREST SZ3 LM 180603,"6,266"
BASE PL TIBMAKOREST SZ3 RM 180613,"6,266"
BASE TIB ATTUNE CEM SZ3 150680003,"8,027"
BASE TIB ATTUNE REV SZ6 150640006,"18,944"
BASE TIB ATTUNE ROT SZ4 150680004,"8,027"
BASE TIB ATTUNE ROT SZ5 150680005,"8,027"
BASE TIB ATTUNE ROT SZ6 150680006,"5,499"
BASE TIB ATTUNE ROT SZ7 150660007,"28,834"
BASE TIB ATTUNE ROT SZ7 150680007,"8,027"
BASE TIB ATTUNE SZ2 150600002,"5,867"
BASE TIB ATTUNE SZ3 150600003,"5,867"
BASE TIB ATTUNE SZ3 150610003,"8,027"
BASE TIB ATTUNE SZ3 150640003,"18,944"
BASE TIB ATTUNE SZ3 151710306,"13,143"
BASE TIB ATTUNE SZ3 CEM 150660003,"52,425"
BASE TIB ATTUNE SZ4 150600004,"5,867"
BASE TIB ATTUNE SZ4 150610004,"8,027"
BASE TIB ATTUNE SZ4 15064004,"18,944"
BASE TIB ATTUNE SZ5 150600005,"5,867"
BASE TIB ATTUNE SZ5 15061005,"8,027"
BASE TIB ATTUNE SZ5 150660005,"28,834"
BASE TIB ATTUNE SZ6 150600006,"5,867"
BASE TIB ATTUNE SZ6 150610006,"8,027"
BASE TIB ATTUNE SZ6 150660006,"28,834"
BASE TIB ATTUNE SZ7 150600007,"5,867"
BASE TIB ATTUNE SZ7 150610007,"8,027"
BASE TIB ATTUNE SZ8 150600008,"5,499"
BASE TIB ATTUNE SZ8 15068008,"8,027"
BASE TIB ATTUNE SZ9 150600009,"5,499"
BASE TIB ATTUNEBEAR SZ5 150640005,"18,944"
BASE TIB GENESIS POLYSZ6 71420458,"4,203"
BASE TIBIAL SZ 2 RT,"13,801"
BASE TIBIAL SZ 3 LT,"13,801"
BASE TIBIAL SZ 3 RT,"13,801"
BASE TIBIAL SZ 4 LT,"13,801"
BASE TIBIAL SZ 4 RT,"13,801"
BASE TIBIAL SZ 5 LT,"13,801"
BASE TIBIAL SZ 5 RT,"13,801"
BASE TIBIAL SZ 6 RT (71424016),"13,801"
BASE TIBIAL SZ 7 LT 71424007,"13,801"
BASE TIBIAL SZ 7 RT,"13,801"
BASEPL TIB MAKO RESTOR SZ5 180615,"6,266"
BASEPLATE # 7 TIBIAL TRIATHLON,"4,864"
BASEPLATE #4 TIBIAL TRIATHLON,"4,864"
BASEPLATE #8 PRIMARY TIBIAL TRIAT,"4,864"
BASEPLATE AEQ PERFORM REV25DWJ401,"9,808"
BASEPLATE AEQ PERFORM REV25DWJ505,"20,512"
BASEPLATE AEQ REV 25X25 DWE725,"4,075"
BASEPLATE AEQ REV 25X30 DWE730,"4,348"
BASEPLATE AEQ REV 25X35 DWE735,"4,075"
BASEPLATE AEQ REV 25X40 DWE740,"4,075"
BASEPLATE AEQ REV 29X25 DWE825,"4,075"
BASEPLATE AEQ REV 29X30 DWE830,"5,243"
BASEPLATE GLEN AEQ REV29MM DWD067,"10,510"
BASEPLATE GLEN RSA 28MM 55722800,"10,278"
BASEPLATE GLENAEQREV25X25MMDWD171,"11,229"
BASEPLATE GLENOIDAEQ25X15MMDWD170,"9,344"
BASEPLATE JOURN TIB SZ1 74022221,"2,919"
BASEPLATE TIB #1 TRIATH TOT KNEE,"4,864"
BASEPLATE TIB #2 TRIATH TOT KNEE,"4,864"
BASEPLATE TIB #5 TRIATH PRIMARY,"4,864"
BASEPLATE TIB #6 TRIATH TOT KNEE,"4,864"
BASEPLATE TIB JOURN SZ4 74022224,"5,255"
BASEPLATE TIB JOURN SZ7 74022227,"4,925"
BASEPLATE TIB JOURN SZ8 74022228,"2,919"
BASEPLATE TIB JOURNEYSZ5 74022215,"5,377"
BASEPLATE TIB LEG HK SZ2 71421302,"25,505"
BASEPLATE TIB LEG HK SZ4 71421304,"25,505"
BASEPLATE TIB LEG REV SZ5 7193579,"12,435"
BASEPLATE TIB LEG SZ3 LFT71421303,"25,505"
BASEPLATE TIB LEGION SZ3 71421903,"27,214"
BASEPLATE TIB LEGREV SZ6 71933572,"12,435"
BASEPLATE TIB MAKO RESTSZ6 180606,"6,266"
BASEPLATE TIB OSS 59X160X9 161022,"17,928"
BASEPLATE TIB OSS 63X160X9 161038,"18,150"
BASEPLATE TIB RESTMAKO SZ6 180616,"6,266"
BASEPLATE TIB RESTORIS SZ4 180604,"6,266"
BASEPLATE TIB RESTORIS SZ4 180614,"6,266"
BASEPLATE TIB RESTORMCKSZ5 180605,"6,266"
BASEPLATE TIBIAL #1 (5521-B-100),"13,582"
BASEPLATE TIBIAL #3 5521B300,"14,153"
BASEPLATE TIBIAL #4 5521-B-400,"14,153"
BASEPLATE TIBIAL #5,"14,153"
BASEPLATE TIBIAL #6,"14,153"
BASEPLATE TIBIAL#3TRIATH TOT KNEE,"4,864"
BASEPLATE TIBJOURNEY SZ2 74022222,"5,068"
BASEPLATE TRIATHLON #2,"14,153"
BASEPLATE TRIATHLON (5521-B-700),"14,153"
BASIC METABOLIC PANEL,200
"BASIC METABOLIC PANEL(CALCIUM,ION",200
BASIC PRE/POST BRONCHIO,512
BASIC RADIATION DOSIMETRY CALC,454
BASKET DIMENSION STONE SZ 042313,"1,162"
BASKET DIMENSION STONE SZ 042316,"1,162"
BASKET RET 1.3FX120CM M0063903010,"1,782"
BASKET RETREIVAL 10X1.2 FG51D,"1,272"
BASKET RETREIVAL 11X1.2 FG52D,"1,272"
BEARING 28X42 EP200148,"10,117"
BEARING 28X44 SZF EP200150,"10,117"
BEARING ARCOM 28X44 XL200150,"8,013"
BEARING ARCOM XL 28X38 XL200144,"8,013"
BEARING ARCON 28X40 XL200146,"8,013"
BEARING CONSTRAINED 11146752,"10,631"
BEARING HUM 44X36 EP115393,"13,030"
BEARING LS TIB OSS SZ16 161096,"4,951"
BEARING MENISCAL MED LT 3MM,"4,768"
BEARING MENSICAL MED LT 4MM,"4,768"
BEARING TIB OSS 14MM 161095,"4,951"
BEARING TIB PCM 12X63 12155612,"10,129"
BEARING TIBIAL VANGUARD,"4,885"
BED MOBILITY PHYSICAL THERAPY,175
BEHAV CHNG SMOKING 3-10 MIN,49
BEHAVRAL/QUALIT.ANAL.-VOICE&RESON,583
BELLADONNA ALKALOIDS-PB ELIXER,21
BELLADONNA/OPIUM SUPP 16.2MG/30MG,156
BELLADONNA/PHENOBARBITAL ELIXIR,205
BENADRYL/LIDOCAINE/MYLANTA 180ML,31
BENADRYL/LIDOCAINE/NYSTATIN SUSP,112
"BENAZEPRIL HCL TAB,5MG",6
"BENAZEPRIL TAB, 10MG",5
"BENDAMUSTINE @1MG,BENDEKA (100MG)",168
"BENDAMUSTINE @1MG,TREANDA (100MG)",177
"BENZATROPINE TAB ,1MG",3
BENZOCAINE SPRAY 85GM,32
BENZOCAINE/TETRACAINE SPRAY(20GM),410
BENZOIN TINCTURE 60ML,24
"BENZONATATE PERLES CAP, 100MG",3
"BENZSOCAINE DENTAL SOLN, 20% 60ML",177
"BENZTROPINE MESYLATE,@ 1MG,INJ(2)",169
"BENZTROPINE TAB, 0.5MG",1
"BENZTROPINE TAB,2MG",1
BETA 2 MICROGLOBULIN,383
BETA-HYDROXYBUTYRIC ACID,434
"BETAMETHASONE SOD INJ, 6MG/ML (5M",35
"BETAXOLOL OPTH SOLN, 0.5% 2.5ML",263
BETAXOLOL OPTH SUSP 0.25% 5ML,919
"BETHANECHOL TAB, 10MG",11
"BETHANECHOL TAB,25 MG",15
"BEVACIZUMAB, 10 MG, INJ, (100MG)",482
"BEVACIZUMAB, PER 10 MG, INJ (400)",482
"BICALUTAMIDE TAB, 50MG",93
BILE ACIDS TOTAL,404
BILE DUCT BIOPSY SING OR MULTI,"4,888"
BILE DUCT PORTOL VEIN CAT,"1,775"
"BILIRUBIN DIRECT, SERUM",119
"BILIRUBIN TOTAL, SERUM",119
BIOCARTILAGE 1CC ABS1010BC,"5,721"
BIODESIGN HERNIA RPR 20X30 G48216,"65,123"
BIOGLUE CARTRIDGE 10ML PREFILLED,"5,178"
BIOPHYSICAL PROFILE W/NON-STRESS,955
BIOPHYSICAL PROFILE W/O NON-STRES,664
BIOPSY BONE SUPERFICIAL,"1,219"
BIOPSY LUNG OR MEDIDSTINU,"2,019"
BIOPSY MAXCORE 18GX20CM MC1820,244
"BIOPSY OF SKIN,SUBC TISSUE,SINGLE",680
BIOPSY THYROID PERCUTAN. NED. COR,679
"BIOPSY/EXC.LYMPH NODES,NEEDLE","2,340"
BISACODYL 10MG SUPP,1
"BISACODYL TAB EC, 5MG",0
BISMUTH SUBSALICYLATE SUSP (120ML,7
"BISOPROLOL TAB, 10MG",7
"BISOPROLOL TAB, 5MG",8
BIT DISC 9.5MM 423872,"4,443"
BIT DRILL 1.1MM,387
BIT DRILL 1.1MM (310.111),387
BIT DRILL 1.4X150MM 702448,858
BIT DRILL 1.4X70 P991951407,"1,532"
BIT DRILL 1.5/85MM,429
BIT DRILL 1.5MM,416
BIT DRILL 1.5X50 2544905,744
BIT DRILL 1.5X96MM QCK COUP310507,988
BIT DRILL 1.6 P991951607,766
BIT DRILL 1.8MM 310.509,937
BIT DRILL 2.0 100MM 00480610020,521
BIT DRILL 2.0MM (310.201),416
BIT DRILL 2.0MM 703701,841
BIT DRILL 2.0MM AR894316,573
BIT DRILL 2.1MM IS1113,"1,310"
BIT DRILL 2.3X289MM 702743,447
BIT DRILL 2.5 00483620525,736
BIT DRILL 2.5 324153,"1,652"
BIT DRILL 2.5 DIAMOND 00480611025,521
BIT DRILL 2.5/125MM,588
BIT DRILL 2.5MM 700342,588
BIT DRILL 2.5MM 829029070,587
BIT DRILL 2.5MM AR894313,529
BIT DRILL 2.5MM AR894330,529
BIT DRILL 2.5MM AR894342,511
BIT DRILL 2.5MM DISP DB25,619
BIT DRILL 2.5X180 00480718025,"1,204"
BIT DRILL 2.5X180 10325180,600
BIT DRILL 2.6MM 703702,841
BIT DRILL 2.6MM AR894302,666
BIT DRILL 2.7 405889,"1,559"
BIT DRILL 2.7 CANN LRG 705250,"1,579"
BIT DRILL 2.7MM 00236020527,854
BIT DRILL 2.7MM 703703,826
BIT DRILL 2.7MM FOR 4.0 CAN SCREW,"2,375"
BIT DRILL 2.7X125MM 700348,588
BIT DRILL 2.9X70 829031070,514
BIT DRILL 2X110MM XFO082001,794
BIT DRILL 2X125MM 700346,549
BIT DRILL 2X128 0277082085S4,304
BIT DRILL 2X135 VAR 703896,811
BIT DRILL 3.0MM AR894336,716
BIT DRILL 3.0MM AR897030,"1,138"
BIT DRILL 3.2 324212,"1,249"
BIT DRILL 3.2 405883,"1,226"
BIT DRILL 3.2X145 00480614532,521
BIT DRILL 3.2X145MMCOMP FIT700358,894
BIT DRILL 3.2X230 705232,668
BIT DRILL 3.2X300MM DISP 702626,447
BIT DRILL 3.5 CANN LRG 705251,"1,579"
BIT DRILL 3.5MM,588
BIT DRILL 3.5MM 703704,885
BIT DRILL 3.5MM AR416035,476
BIT DRILL 3.5X110 00480611035,521
BIT DRILL 35MM 829032070,639
BIT DRILL 4.0 AR416040,730
BIT DRILL 4.2/130MM,908
BIT DRILL 4.2/180MM STERILE,908
BIT DRILL 4.2/340MM STERILE,908
BIT DRILL 4.2X360MM 13203642S,484
BIT DRILL 4.3 324213,"1,249"
BIT DRILL 4.3X19 NCB 0200024346,714
BIT DRILL 4.3X24 NCB 200021346,714
BIT DRILL 4.5MM,894
BIT DRILL 4.5X216MM 705078,"1,281"
BIT DRILL 4.9 702601,"1,645"
BIT DRILL 4.9 CANN 705252,"1,579"
BIT DRILL 4MM 31406182,"1,576"
BIT DRILL 4X70 829033070,546
BIT DRILL 5X230MM AO 18065000S,908
BIT DRILL 8.00 CANN 702613,"2,149"
BIT DRILL AEQ PERFORM 3.2 MWJ126,742
BIT DRILL AEQ REV3MM SGLUS DWD055,662
BIT DRILL ASNIS 1.7MM 4520011,409
BIT DRILL ATLANTIS 11MM 7080510,810
BIT DRILL AVIATOR 10MM 48771610,"2,305"
BIT DRILL AVIATOR 12MM 48771612,"2,305"
BIT DRILL AXOS3.6X122MM 4535020,876
BIT DRILL AXSOS 2.5 703966,"1,063"
BIT DRILL AXSOS 2.5X216 705025,"1,239"
BIT DRILL AXSOS 2.6X135 703691,732
BIT DRILL AXSOS 2.7X135 703695,732
BIT DRILL AXSOS 2X135 703690,732
BIT DRILL AXSOS 3.1X216 705031,741
BIT DRILL AXSOS 3.2X216 705032,"1,239"
BIT DRILL AXSOS 3.5 703978,"1,063"
BIT DRILL AXSOS 3.5X135 703694,947
BIT DRILL AXSOS 4.3 X216 705043,774
BIT DRILL BONE 3.2/100MM HIGH-PER,194
BIT DRILL CANN 1.7 AR8610DB25C,"1,022"
BIT DRILL CANN 2.0 0023601720,"1,379"
BIT DRILL CANN 2.3 P991102312,"1,292"
BIT DRILL CANN 2.75 P409202707,"1,292"
BIT DRILL CANN 3.0MM AR8610DB43C,"1,022"
BIT DRILL CANN 3.5 P409203507,"1,292"
BIT DRILL CANN 4.3 AR8610DB65,"1,022"
BIT DRILL CANN LRG DISP 702611,"1,463"
BIT DRILL CANNULATED 2.0/15MM QC,"2,395"
BIT DRILL CANNULATED 5.0MM,"2,701"
BIT DRILL DART 2.5MM DSDS0025,"1,261"
BIT DRILL EQUINOXE 2X3.2 3212000,"1,479"
BIT DRILL EVOLVETRIAD2.0 49510112,992
BIT DRILL FIBULOCK 2.5 CS6125,117
BIT DRILL FIXOS 2.7MM XFO094501,"4,729"
BIT DRILL FIXOS2.5X32MM XF0073200,"1,607"
BIT DRILL GAMMA 42 X 300,841
BIT DRILL GEM 2.5X40 DRLLSSC25040,508
BIT DRILL GEM 2X40 DRLLSSC20040,508
BIT DRILL INFINITY 2.4 G3606010,"2,148"
BIT DRILL LCP 250/225 03113023,757
BIT DRILL LCP2.8 250/225 03113024,819
BIT DRILL MENOFIX 2.0 MS2620,"2,791"
BIT DRILL NAIL LONG4.3 415S002352,"1,553"
BIT DRILL NCB 2.5X245 0200024342,714
BIT DRILL NCB 3.3 0200024133,"1,747"
BIT DRILL NCB 3.3X195 0200024118,784
BIT DRILL NCB 4.3X195 0200024002,714
BIT DRILL NCB 4.3X215 0200024003,784
BIT DRILL PHALINX 2.55 45303055,"1,693"
BIT DRILL QUICK COUPLING (310.23),715
BIT DRILL QUICK COUPLING 3.2MM,377
BIT DRILL RINGLOC3.2X30MM31323230,589
BIT DRILL RSA 3.1 59011126,560
BIT DRILL SILOK CANN 7.5 639217,"3,153"
BIT DRILL SUPERELAS 2MM XFO012002,"1,671"
BIT DRILL TM REV 2.5MM47430904601,"1,943"
BIT DRILL TRAB 6MM 47430706100,"3,091"
BIT DRILL TWIST 1.4X27MM 6014326,393
BIT DRILL TWIST2.2 X105 500220307,744
BIT DRILL TWIST2.2X70 500220107,744
BIT DRILL UNIV 1X50MM 6MM 6010506,764
BIT DRILL VALOR 4.3 415S002351,"1,553"
BIT DRILL VERTEX2.4MM SPIN7756010,"2,591"
BIT DRILL VPC 3.4 231201130,"2,043"
BIT DRILL VPC CANN 1.8 231201025,"2,102"
BIT EXTRACTOR 15.0 18066119,"2,204"
BIT SCREWDRIVERTIP3.5MMSGL DWD167,"1,114"
"BIVALIRUDIN, PER 1MG, INJ (250)",26
BLADE 25MM X 9MM 2296-33-111,213
BLADE 4.5MM 17 LNGCURV 7205323,499
BLADE 8MM SH MRI OSTEO47998602120,934
BLADE ACROBAT 1.5IN STER DB1000,488
BLADE BONECUT 4.5X180 7210979,737
BLADE CROSS 53X40X.64MM5400134285,213
BLADE DERM1.25-4.25IN D0880000010,204
BLADE FULL RAD 5.5MM 7205307,324
BLADE HO RECIP HEAVY DUTY OFFSET,181
BLADE HOOK NARROW MEDIUM IMPLANT,"5,130"
BLADE INCISOR PLUS ELITE 4.5,648
BLADE LONG 4.5 CURVED I.P.E.,713
BLADE MICRO 13X39X.51MM 229633526,249
BLADE MICRO FEATH 25DEGDISP K5310,388
BLADE NARROW LARGE IMPLANTABLE,"6,178"
BLADE NOTCHBLASTER 4.0 7205328,324
BLADE OST 10MM SHRTDISP4799862121,"1,089"
BLADE OSTEO 12X93MM 62100740,969
BLADE OSTEOME GRAY8X80 62100730,969
BLADE OSTEOTOME 12MM 4799862122,"1,032"
BLADE OSTEOTOME 8MM 4799862120,654
BLADE OXFORD STABLE CUT 506298,"1,751"
BLADE RECIPROCATING DOUBLE SIDED,172
BLADE SAG DUAL CUT (11 X 1.2),181
BLADE SAW 12X9X.38MM 2296003231,228
BLADE SAW 18.5X7X.38 22963114,248
BLADE SAW 25X9X.38 2296003111,205
BLADE SAW 34.5X9X.64MM 2108148,137
BLADE SAW 41X19.5X.38MM 22963254,213
BLADE SAW 79.5X25X1.24MM SAG,137
BLADE SAW 90X18X1.27 618812790,267
BLADE SAW 90X25X1.19 4125119090,239
BLADE SAW 90X25X1.27 6125127090,267
BLADE SAW GIGLI 280802,152
BLADE SAW INBONE 7 NAR 200138107S,"1,010"
BLADE SAW MAKO 116170,"1,693"
BLADE SAW MAKO NAR 116171,"1,665"
BLADE SAW SAGITA/OSC REPLACES #12,267
BLADE SAW SAGITAL XWIDE 210814000,137
BLADE SHAVER 2.9 DISP 72201520,496
BLADE SHAVER 2.9MMX7CM 72201509,715
BLADE SHAVER 2MMX7CM 72201507,715
BLADE SHAVER 3.5MM FR 7205305,385
BLADE SHAVER 3.5X7 DISP 72201510,438
BLADE SHAVER 4.5 STR 7205316,237
BLADE SHAVER DYNOMICS3.5 72201519,496
BLADE SHAVER MENISEC 3.0MM010640,149
BLADE SHAVERDYONICS2.9X7 72201513,745
BLADE SHAVERINCISOR4.5DISP7205345,385
BLADE SINUS RAD 40 CURVED 4.0MM,992
BLADE SINUS RAD 60 CURVED 4.0MM,"1,079"
BLADE SINUS TRICUT STRAIGHT 4.0M,"1,090"
BLADE SMALL NARROW IMPLANTABLE,"5,130"
BLADE STONECUTTER 5.5MM (6/BX),385
BLADE TEND GRAFTSTRIP10MMAR238510,"1,022"
BLADE TURBINATE 2.0 1882040HR,"1,130"
BLADE TURBINATE 2.9MM 1882940HR,"1,130"
BLADE XLONG 50X.64X13MM2296310855,213
"BLEOMYCIN SULF,@ 15UNITS,INJ (30)",259
BLEPS,"7,861"
BLEPS AFTER DRUG INFUSION,"3,033"
BLEPS W/CS,"4,090"
BLEPS W/LV,"1,011"
BLEPS W/MAPPING,"6,836"
BLOCK CORT 5X14X11MM 400541,"6,159"
BLOCK CORT LORD 7X14X11 400741,"7,451"
BLOCK CORT LORD 9X14X11MM 400941,"6,834"
BLOCK CORT LORD6X14X11 400641,"6,834"
BLOCK CORTLORDOTIS8X14X11MM400841,"7,451"
BLOCK FEM AUG NEXGSZG 00599003724,"5,762"
BLOCKAUGTIBNEXG SZ7.5 00598800726,"5,576"
BLOCKER MANTIS REUX LT 48289999,"1,664"
BLOCKER XIA 3 1LEV 48230000,"1,851"
BLOCKER XIA SMALL 4885000,"1,664"
BLOOD ADMINISTRATION CHARGE,"2,580"
BLOOD CULTURES X 1,286
BLOOD DRAW FROM IMPLANTED VEN.DEV,77
BLOOD GAS 02 SAT ONLY,70
BLOOD L/R IRRAD,"1,294"
"BLOOD PHENOTYPING, RH",162
BLOOD SPLIT UNIT,467
BLOOD SUGAR,69
BLOOD SUGAR POST PRANDIAL,69
BLOOD TRANSFUSION SERVICE,"1,078"
BLOOD TRANSFUSION SERVICE,"1,437"
"BLOOD TYPING, ABO",130
"BLOOD TYPING, AG, PATIENT",164
"BLOOD TYPING, ANTIGEN TESTING OF",197
"BLOOD TYPING, RH",80
"BLOOD,OCCULT,QUAL.OTHER SOURCES",76
BLS EMERGENCY TRANSPORT,"1,278"
BLS NON-EMERGENCY TRANSPORT,943
BODY CONE RESTOR +20 29MM62761229,"21,449"
BODY CONE RESTOR+30MM 6276-1-325,"23,000"
BODY FLUID ALBUMIN,116
BODY FLUID AMYLASE,170
BODY FLUID GLUCOSE,69
BODY FLUID LDH,144
BODY FLUID PROTEIN,112
BODY FLUID SPEC GRAV,59
BODY RES MODULAR CONE 21X30MM,"23,000"
BOLT FEMORAL ADAPTOR,"1,175"
BOLT FEMORAL ADAPTOR +2/-2 OFFSET,"1,175"
BOLT HALF PIN FIX 6MM,982
BOLT HINGE MED 49341008,512
BOLT TRUELOCK 8MM 5411540,"1,395"
BOLT TRUELOK WIRE FIX 541152,512
BOLT WIRE ADAPT LONG 49331005,"1,063"
BOLT WIRE HOFF 49331002,349
BOLT WIRE HOFF LRF LNG 49331003,349
BOLTWIRE ADAPT SHORT 49331004,"1,063"
BOLTWIRE HOFFMAN LRF SHT 49331001,349
BONE 8MM PLANER P4090000801,"1,292"
BONE ANCHOR W/DEL SYST 2503A,"4,437"
BONE BIOPSY DEEP,"2,240"
BONE CANCELLOUS 15CC CUBE,"2,618"
BONE CANCELLOUS CRUSHED CHIPS30CC,"4,417"
BONE CULTURE,204
BONE IMAGING SPECT,"2,209"
BONE MARROW ASPIRATION,"2,610"
"BONE MARROW BX,NEEDLE OR TROCAR","3,552"
BONE MARROW KIT ANGELSYS ABS10062,"5,721"
"BONE MARROW, BIOPSY,NEEDLE/TROCAR","3,552"
BONE MATRIX BIO4 10CC 31022110,"22,418"
BONE MATRIX BIO4 10CC PS51010,"16,580"
BONE MATRIX BIO4 2.5CC 31022102,"7,443"
BONE MATRIX BIO4 2.5CC PS51002,"7,443"
BONE MATRIX BIO4 5CC 31022105,"13,136"
BONE MATRIX BIO4 5CC PS51005,"13,136"
BONE MATRIX INFUSE MEDIUM BMP,"31,704"
BONE OSTEOTOMY CORTICAL WEDGE,"9,881"
BONE PLUG LARGE ARTISAN 62155021,464
"BONE PLUG,MED 13-17MM CANL HOWM",464
BONE SCAN BONE/JOINT LTD,"2,788"
BONE SCAN BONE/JOINT TOT,"3,450"
BONE/JOINT 3 PHASE STUDY,"3,014"
"BORRELIA BURGDORFERI, AMPL TECH","3,137"
"BORTEZOMIB,@ 0.1 MG ,INJ (3.5MG)",308
"BOTH KNEES,STANDING, ANTEROP",261
"BOTTLE,DRAINAGE",375
"BOTULINUM TOXIN A,PER 1 UNIT(100U",36
"BOTULINUM TOXIN A,PER 1 UNIT(200)",36
"BR.TH.ISODOSE PLAN,MEDT,5-10,CALC","1,154"
"BR.TH.ISODOSE PLAN,SIMPL,1-4,CALC",786
"BRACHYTX, NON-STR, HDR IR-192","3,923"
"BRAF GENE ANALYSIS,V600E VARIANT",316
BRAIN FLOW IMAGING ONLY,"1,436"
"BREAST BX,STEREOTACTIC,1ST LESION","5,735"
"BREAST BX,STEREOTACTIC,EA.ADD.LSN","3,065"
"BREAST BX,ULTRASOUND,1ST LESION","5,284"
"BREAST BX,ULTRASOUND,EA.ADD.LSN","2,642"
"BRIMONIDINE OPHTH SOLN,0.1%(10ML)",824
BRINZOLAMIDE OPHTH SUSP 1% (5ML),691
"BROMOCRIPTINE TAB, 2.5MG",33
BRONCH-DIAG. W/ ALVEOLAR LAVAGE,"6,755"
BRONCH-DIAG. W/ BRUSHINGS,"5,053"
BRONCH-DIAG. W/ OR W/O WASHINGS,"4,876"
BRONCH-EBUS DX/THER-PERIPH.LESNS,"3,282"
"BRONCH-EBUS SAMPLING,1-2 MD/NODE","4,689"
"BRONCH-EBUS SAMPLING,3,+ MD/NODE","5,380"
BRONCHOSCOPY-THERAPEUTIC,"2,549"
"BRONCH-UP.AIR.NDL.ASP.BX(S),1ONLY","6,612"
BRONCH-VIA ESTABLISH.TRACHEOSTOMY,"1,715"
"BRONCH-W/BR-ENDOBR.BX(S),1/MULTI","6,294"
"BRONCH-W/TRANSBR.BX(S),ADD.LOBE","7,728"
"BRONCH-W/TRANSBRONCH.BX(S),1 LOBE","8,451"
BRUSH FEM CANAL W IRR 0067910,"1,048"
BSS OPHTH SOLN 15ML,59
"BUDESONIDE RESPULES, 0.25MG/2ML",59
"BUDESONIDE RESPULES, 0.5MG/2ML",63
BUMETANIDE 0.25MG/ML INJ 4ML,15
"BUMETANIDE INJ, 0.25MG/ML",17
"BUMETANIDE TAB, 0.5MG",6
"BUMETANIDE TAB, 1MG",11
BUMEX DRIP 0.25MG/ML 100ML,340
BUN,90
"BUPIVACAINE 0.25% INJ, (10ML)",13
BUPIVACAINE INJ 0.5% 30ML,15
"BUPIVACAINE INJ, 0.25% (30ML)",14
"BUPIVACAINE INJ, 0.5% (10ML)",15
"BUPIVACAINE INJ,0.5% W/EPI1-200,0",31
"BUPIVACAINE INJ,0.5%W/EPI(1@200K)",19
BUPIVACAINE LIPOSOME @ 1 MG (266),8
BUPIVACAINE LIPOSOME@1MG INJ(133),9
"BUPIVICAINE SPINAL INJ, 0.75% 2ML",16
BUPRENORPHINE 2/NALOX .5 MG TAB,26
BUPRENORPHINE 8/NALOX 2 MG TAB,46
BUPRENORPHINE INJ 0.3MG/ML 1ML,11
BUPROPION HCL,10
BUPROPION TAB 75MG,9
"BUPROPION TAB SR, 100MG",9
"BUPROPION TAB XL, 150MG",27
"BUPROPION TAB XL, 300MG",16
BUR 1.7MM MATCH HD 582010753053,860
BUR 2.2MM MATCH HEAD 5820107022,672
BUR 3.0 RND DIAM 5820012030D,672
BUR 3.0PRECISIONMATCHHD5820107530,672
BUR 4.0 PRECISION RDN 5820009040,"1,189"
BUR 4.0MM RND DIAM 5820012040D,672
BUR 4.0MM RND FLUT CARB5820110040,672
BUR 5.0MM RD DIAM 5820012050D,672
BUR 6.0MM PRECISION RND5820009060,"1,189"
BUR ACORN MIDAS 6MMX9CM 9AC60,883
BUR BALL MIDAS 1X10 10BA10D,818
BUR BALL MIDAS 2MM 10CM 10BA20DMN,940
BUR BALL MIDAS 3X10 10BA30D,818
BUR BALL MIDAS 3X10 10BA30DC,863
BUR BALL MIDAS 4X7 7BA40,747
BUR BALL MIDAS 5MM 10CM 10BA50MN,883
BUR BALL MIDAS 5MMX14CM 14BA50,"1,003"
BUR BALL MIDAS 5MMX15CM 15BA50,984
BUR BALL MIDAS 5MMX9CM 9BA50,921
